	Case_to_Control.logFC	Case_to_Control.AveExpr	Case_to_Control.t	Case_to_Control.P.Value	Case_to_Control.adj.P.Val	Case_to_Control.B	Case_to_Control.Case_AVG	Case_to_Control.Control_AVG	Case_to_Control.deltaBeta	Case_to_Control.CHR	Case_to_Control.MAPINFO	Case_to_Control.Strand	Case_to_Control.Type	Case_to_Control.gene	Case_to_Control.feature	Case_to_Control.cgi	Case_to_Control.feat.cgi	Case_to_Control.UCSC_Islands_Name	Case_to_Control.SNP_ID	Case_to_Control.SNP_DISTANCE
cg11069855	0.051708107648179	0.559509592778321	7.63755646348871	7.05561574026036e-10	0.000526015909160482	11.8813304450599	0.533655538954231	0.58536364660241	0.0517081076481789	13	30112348	R	II	SLC7A1	5'UTR	opensea	5'UTR-opensea		rs78139552;rs151237564	36;15
cg13979085	0.0440607515862464	0.407799920145163	7.14531660864245	4.0415340405337e-09	0.000835766091576555	10.1386386321127	0.38576954435204	0.429830295938286	0.0440607515862465	3	58523570	F	II	ACOX2	TSS1500	opensea	TSS1500-opensea		rs542796661	1
cg22587211	0.0433673683593463	0.272129424247491	7.0199722834144	6.31195880317958e-09	0.000835766091576555	9.69404537321177	0.250445740067818	0.293813108427165	0.0433673683593463	6	32851722	F	II		IGR	shelf	IGR-shelf	chr6:32847498-32847846	rs141952083	39
cg13870520	0.0461452583639993	0.265210813068604	6.98506947302197	7.14669974989736e-09	0.000835766091576555	9.57022632081519	0.242138183886604	0.288283442250604	0.0461452583639993	4	77131705	R	II	SCARB2	Body	shelf	Body-shelf	chr4:77134566-77135377	rs562103808	2
cg09019636	0.0529525304295497	0.541646196142136	6.98469489408586	7.15623335082743e-09	0.000835766091576555	9.56889746664816	0.515169930927361	0.568122461356911	0.0529525304295497	2	62964766	F	II	EHBP1	Body	opensea	Body-opensea			
cg15458313	0.0381107663787092	0.25710650781122	6.95015611203512	8.09231836348346e-09	0.000835766091576555	9.44636697434471	0.238051124621866	0.276161891000575	0.0381107663787092	6	24490221	F	II	GPLD1	TSS1500	opensea	TSS1500-opensea		rs558405706;rs575266868	25;34
cg05527449	0.0436719663171982	0.592408092822349	6.92764113499293	8.76758821494112e-09	0.000835766091576555	9.36649232820197	0.57057210966375	0.614244075980948	0.0436719663171982	7	154778125	R	II	PAXIP1	Body	opensea	Body-opensea		rs546465532	3
cg19429405	0.0476589224140079	0.3403044423445	6.92128259123861	8.96831337335746e-09	0.000835766091576555	9.34393475012092	0.316474981137496	0.364133903551504	0.0476589224140079	10	73497609	F	II	C10orf105	TSS200	opensea	TSS200-opensea		rs575865435	36
cg01397424	0.0472930360921894	0.489979094954995	6.87725594393175	1.04902205882795e-08	0.000868972574970981	9.18774943669555	0.4663325769089	0.51362561300109	0.0472930360921895	9	128517686	F	II	PBX3	Body	opensea	Body-opensea		rs541735552;rs190931273;rs530292885	0;7;49
cg16879432	0.0347744200597538	0.821658071652806	6.81491925870848	1.30973933969652e-08	0.000976447350445269	8.966629425314	0.804270861622929	0.839045281682683	0.0347744200597537	19	33786219	R	II		IGR	opensea	IGR-opensea		rs115370843;rs56160221	26;13
cg27549551	0.0464675743260176	0.724469255975803	6.77096478662824	1.53167079512408e-08	0.00103809405867933	8.81073810626381	0.701235468812794	0.747703043138812	0.0464675743260178	2	228245419	F	II	TM4SF20	TSS1500	opensea	TSS1500-opensea		rs10201602	15
cg01401957	0.0474464310400708	0.755427857796923	6.71123881343659	1.89471072655889e-08	0.00107133990093051	8.59895545333089	0.731704642276888	0.779151073316958	0.0474464310400706	5	14269011	F	II	TRIO	Body	opensea	Body-opensea		rs528331667;rs540137164	0;4
cg17542758	0.0482402394735068	0.794291979029619	6.68830786477979	2.05593829284997e-08	0.00107133990093051	8.51766140000492	0.770171859292865	0.818412098766372	0.0482402394735069	12	121605293	F	II	P2RX7	ExonBnd	opensea	ExonBnd-opensea		rs147505804;rs138503902;rs149639375	0;12;44
cg04546097	0.0457721369633671	0.745243414744284	6.68622632099952	2.0712359094148e-08	0.00107133990093051	8.51028250373288	0.722357346262601	0.768129483225968	0.0457721369633672	3	120401058	R	II	HGD	1stExon	opensea	1stExon-opensea		rs547960368	2
cg27108109	0.0473128634385994	0.539420005460755	6.6293822073377	2.53598517452849e-08	0.00107133990093051	8.30881251309837	0.515763573741456	0.563076437180055	0.0473128634385993	4	57524204	F	II	HOPX	5'UTR	shore	5'UTR-shore	chr4:57521621-57522703		
cg13022415	0.0394589742402125	0.320600215487165	6.61392086373862	2.67952864348166e-08	0.00107133990093051	8.25402728410187	0.300870728367059	0.340329702607271	0.0394589742402125	17	465530	R	II	VPS53	Body	opensea	Body-opensea		rs548341883;rs147331811;rs527934641	42;18;1
