	seqnames	start	end	width	strand	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
DMR_1	chr3	194969372	194969372	0	*	-3.94424937913646	3.94424937913646	208414	331955	331955	1	10	9.05633037493208e-05	0.108	0.00216681089711338	0.5
DMR_2	chr2	223916417	223916912	495	*	0.273877559018476	2.73877559018476	167429	274885	274894	10	19	0.00334748804228971	0.256	0.0121388368988441	0.804
DMR_3	chr21	30391383	30391822	439	*	-0.313885808240467	1.8833148494428	179871	293321	293326	6	13	0.00428666304413452	0.352	0.0421119362434342	0.952
DMR_4	chr2	37458536	37458826	290	*	-0.240246852136378	2.40246852136378	149945	253612	253621	10	18	0.0115921028799131	0.36	0.0196857788779542	0.876
DMR_5	chr4	6642118	6642559	441	*	-0.255183024982019	2.04146419985615	210174	336480	336487	8	14	0.0158485781561311	0.452	0.033766695512756	0.944
DMR_6	chr8	23082539	23082961	422	*	-0.232651989767723	2.09386790790951	276907	434780	434788	9	19	0.0205679325404013	0.456	0.0311437139004609	0.936
DMR_7	chr9	135905949	135906290	341	*	-0.274499689045547	1.92149782331883	298804	460202	460208	7	15	0.0115719777013021	0.468	0.0398713330247473	0.952
DMR_8	chr17	33569972	33570128	156	*	-0.24325599610463	1.94604796883704	119709	198246	198253	8	18	0.02326470647427	0.492	0.0385430712364239	0.952
DMR_9	chr16	30621667	30622014	347	*	-0.241899468681464	1.93519574945171	108331	175273	175280	8	14	0.0241569227260225	0.492	0.0391367640054472	0.952
DMR_10	chr17	72209469	72209802	333	*	-0.236146001034593	1.88916800827675	125582	208573	208580	8	26	0.0280913951444652	0.508	0.041773162403483	0.952
DMR_11	chr1	231473707	231473975	268	*	-0.235149348412412	1.88119478729929	26446	43271	43278	8	35	0.0286817337170534	0.508	0.0422259789222296	0.952
DMR_12	chr17	57184382	57184577	195	*	-0.226951849659312	1.8156147972745	123565	206342	206349	8	17	0.0331662943508624	0.532	0.0465663091093267	0.96
DMR_13	chr2	115419537	115420260	723	*	0.261218564003109	1.82852994802176	157676	263577	263583	7	7	0.0187969168226368	0.54	0.0456439050896577	0.96
DMR_14	chr22	39916166	39916550	384	*	-0.258910885885504	1.81237620119853	186683	304423	304429	7	14	0.0204438272723004	0.544	0.0467675608954363	0.96
DMR_15	chr18	7119021	7119131	110	*	1.29174096158992	2.58348192317985	128586	216734	216735	2	12	0.000945883394715128	0.7	0.0151609678869233	0.844
DMR_16	chr3	128398171	128398685	514	*	0.97650457168882	1.95300914337764	201539	323700	323701	2	9	0.0017877866999403	0.88	0.0381237966820289	0.952
DMR_17	chr12	103312609	103312810	201	*	0.966844626663701	1.9336892533274	70523	113298	113299	2	12	0.00181462027142158	0.88	0.0392440982913723	0.952
