	Pvalue	FDR	Delta	MG1	MG2
chr10:106017115-106017230	7.3062585331269e-06	0.0222934822870082	0.659451526811551	0.923810784109596	0.264359257298045
chr10:29313609-29313672	6.363971716949e-08	0.000679640359511568	0.610826603325932	1.00000117584959	0.389174572523658
chr11:69218514-69218632	1.00485015159083e-06	0.00495880034003466	0.669793252361898	0.999999612812653	0.330206360450755
chr11:73656420-73656583	1.85438184811964e-07	0.0015843096757595	0.716226004139363	0.924163472919765	0.207937468780402
chr11:75023041-75023117	1.09406248647687e-06	0.00495880034003466	0.521360382249656	1.00000109787236	0.478640715622704
chr11:9490376-9490477	8.27478186718269e-11	3.5348213180231e-06	0.734043890959385	1.00000200231237	0.265958111352981
chr14:104156162-104156180	1.53207151135797e-05	0.0373983033269655	0.590276494959934	1.00000039768093	0.409723902721
chr14:66276009-66276081	1.21745092343741e-05	0.0315194354832723	-0.599253167942735	0.173237778733087	0.772490946675822
chr16:5007871-5008065	2.18863857068031e-07	0.00165421124055803	-1.71116625315142e-06	6.88284668470304e-08	1.77999471999845e-06
chr16:67687484-67687553	1.1675323030524e-05	0.0311716530761202	-0.276615881952094	0.114128422925186	0.39074430487728
chr17:17076115-17076335	1.09479273108997e-05	0.0302905705132841	0.570220441157089	0.961451605528844	0.391231164371755
chr17:38426338-38426387	4.04971633007207e-06	0.0138396625750415	-0.510421162824437	0.173611961354897	0.684033124179334
chr17:44173873-44173936	4.9905948489568e-08	0.000679640359511568	0.814814554040094	0.981482472798185	0.166667918758091
chr17:47000372-47000457	2.94397980563174e-07	0.00193478352826118	0.547207074651133	1.00000139375483	0.452794319103695
chr18:13222076-13222179	2.36034972947514e-06	0.00960280188035418	0.725793679864526	1.00000035884967	0.274206678985142
chr18:28785583-28785809	1.91960668643392e-05	0.0455565324617134	0.727073694133034	0.916667781877906	0.189594087744871
chr18:55923764-55923796	9.59196944671931e-06	0.0282586035051693	0.527749072382981	1.00000086113867	0.472251788755685
chr1:15547868-15547961	2.05131047630906e-05	0.0473664221226868	0.400207510051922	1.00000070271448	0.599793192662561
chr1:164723155-164723248	8.85152507322135e-09	0.00020245197093939	0.723296004054949	1.00000079194785	0.276704787892901
chr1:224201669-224201684	2.83435561305611e-06	0.0105285220068288	-0.660661573885519	0.0818892426214947	0.742550816507014
chr20:10073347-10073552	3.39467482092003e-12	2.90027438000123e-07	0.820139309542153	1.0000011886498	0.179861879107648
chr21:46378809-46378939	9.47853227863616e-09	0.00020245197093939	-0.862531062852653	0.0416675498906399	0.904198612743293
chr22:19709778-19709806	1.09907730454587e-05	0.0302905705132841	-0.612661681869201	0.105556799831599	0.718218481700799
chr3:53381584-53381645	2.7606566250952e-08	0.000471718918843268	-2.76782958092935e-06	-1.63245828226221e-06	1.13537129866714e-06
chr4:22605720-22605888	6.72139478135701e-07	0.00358905677837511	0.605349316597877	1.00000044764789	0.394651131050016
chr4:4498948-4499215	5.3154673099546e-06	0.0168197135219734	0.628069889549395	1.00000114366636	0.371931254116963
chr4:98749916-98750158	4.35905253499043e-07	0.00248280008252962	0.537038712012825	1.0000019436924	0.462963231679575
chr5:1124981-1125017	1.38238392728239e-05	0.0347368685915584	-0.506481969755901	0.325926673917207	0.832408643673108
chr5:142593623-142593645	5.90016750289514e-08	0.000679640359511568	0.658230105249196	1.0000004134375	0.341770308188305
chr6:53214941-53214961	4.03194701079434e-07	0.00246052446295875	-0.813518138262014	1.3839507397203e-06	0.813519522212754
chr7:129546137-129546204	1.81405430740402e-07	0.0015843096757595	-0.59558796127076	0.277778887703227	0.873366848973987
chr7:155549749-155549913	2.19359739738399e-06	0.00937060936214492	0.614612754550332	1.0000011887083	0.385388434157972
chr7:72689203-72689261	2.47375926382312e-06	0.00960673165745417	0.421395638129091	1.00000131017485	0.578605672045755
chr9:102059165-102059169	4.59538623988322e-06	0.0151004391842563	-0.718055920634865	0.0666672560931529	0.784723176728018
chr9:110657104-110657279	2.32343916928419e-07	0.00165421124055803	0.640311588575587	1.00000035639443	0.359688767818846
chr9:6541039-6541148	3.0760363404529e-06	0.0109501766992889	0.571409293678228	0.9999998679168	0.428590574238572
chr9:91358406-91358565	1.10278110469426e-06	0.00495880034003466	0.69424636006597	1.00000123285396	0.305754872787987
