	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	NCT	NCT	NCT	NCT	WB	WB	WB	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT
chr15:44581389-44581410	NA	0	NA	0	NA	0	0	NA	0	0	NA	NA	0	0	NA	0	0	0.0477777777777778	0	NA	0	NA	0	NA	NA	0	1	NA	NA	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	0.12	NA	NA	0.988888888888889	1	1	1	1	NA	NA	NA	NA	0.408025783882627	0.255661375661376	0.249278499278499	0.166885166645274	0.00666666666666667	0.280643539467069	NA	0	0.0639289000057501	0	0	0	0	NA	0	0.0228571428571429	0	0	0	NA	NA	0	NA	NA	0	0.00666666666666667	0.0416666666666667	NA	0	NA	0	0	0	NA	1	NA	0	0	1	NA	0.00392156862745098	0	0.0323809523809524	1	NA	0	0	0.184322344322344	NA	0	NA	0	NA	0	NA	0	0.0166666666666667	0
chr22:41252750-41252783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.472209302325581	0.958333333333333	0.234920634920635	0.486136548636549	0	0.369668261502195	NA	0	0	0	0	0	0	0	0	0	0.0333333333333333	NA	NA	NA	NA	0.822222222222222	NA	1	0	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	1	0.133333333333333	1	1	0.111111111111111	0	1	NA	NA	NA	1	0	NA	0	0	NA	0.00396825396825397	0	0	NA	NA	0
chr12:21590618-21590631	0	0	1	0	NA	0.756623931623932	0.5	0	1	0	0.531922808649151	1	0.122268907563025	1	0	0.126666666666667	0	1	NA	0.5	0.308270676691729	0	0	0.452777777777778	0.0708333333333333	1	1	0.75	NA	1	0.5	NA	NA	1	NA	0	0	0.339583333333333	1	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	0.5	0	0	0.666666666666667	0	0	0.539351851851852	0.56036608319217	0.75	0.560868945868946	0.643458306399483	0.289285714285714	0.589583333333333	0.730952380952381	0.2375	0.546851677552456	NA	0.262608207652051	0.461896689043122	0	0.481477591036415	0	0	0	0.00136986301369863	0	0	0	0	0	0	0	NA	0	0	0.0833333333333333	0	0	0	0	0.775555555555556	0	0	0	0.98	0	NA	NA	NA	1	0	0	0.534861111111111	0	NA	0	0	0	0.0111111111111111	0	NA	0.5	0	NA	0	0.001	0.00263157894736842	NA	0	0	0	NA	0
chr2:113190385-113190497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45694885361552	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.42	NA	1	0.311210317460317	NA	0	1	NA	NA	0.393522928350182	1	0.44299398858675	0.651293807649441	0.93202380952381	0.262793675467219	0.0680418159947125	0.0531221924434811	0.000172265288544358	0.0123576529134554	0	0.00296296296296296	0.0105050505050505	1	NA	0	0	1	0.0345282212939562	0	0.212261272464112	0.0322800430570084	0.197909875115757	0.20936662317281	0.00696447103728749	0	0.00530976161876308	NA	0.558929683243409	0.545978264881863	0.58782898497841	0.854289828105618	NA	1	0.851777198836022	0.50510244294558	0.201004431184737	0.36492532132045	0.266311378255153	0.328080646767795	0.510642115715998	0.310516326138999	0.371965725033471	0.311478066346489	0.418426577734732	0.323666547877074	NA	0.137086607947441	NA	NA	0.0814160035916241	0.592171330794282	NA	0.16216009557945	0.0249031670084302	0.000925925925925926	NA	NA
chr17:7154513-7154529	NA	1	0	1	0	1	0.5	0.104166666666667	1	0	NA	0	1	NA	NA	0.5	0.0416666666666667	0.0208333333333333	1	0.5	0.0416666666666667	NA	0	NA	NA	0	NA	NA	1	0	1	0	NA	NA	0	NA	1	NA	1	1	1	1	1	1	0	NA	NA	NA	NA	0	NA	NA	NA	1	NA	0.177777777777778	1	1	0.546296296296296	NA	1	NA	NA	NA	NA	0.0705619801176709	0.246794871794872	0.0320837674844495	0.121853414022862	0	0.0742488404920347	NA	0.00340136054421769	0	0	0	0	0	0	0	0	0	NA	0	0.0773504273504274	0.17269770879527	0.0116995073891626	0.0053763440860215	0.141514041514041	0.0174603174603175	0	0.00282485875706215	NA	0.00462962962962963	NA	0.0043859649122807	0.00520833333333333	0.0823099415204678	0	0	0.0331688596491228	0.0447884643536817	0.0388277181755443	0.0507695551338815	0.120339912280702	0.0808435072142064	0.00666666666666667	0.00476190476190476	0.0809117233391247	0.00196078431372549	0.0927235772357724	NA	0.093974358974359	0	0.0138888888888889	0	0.00347222222222222	NA	NA	NA	0	NA	0
chr17:7154566-7154607	NA	1	0	0.566269841269841	0.00396825396825397	1	0.587707810396886	0.505379188712522	NA	0.08262653568992	NA	0	0.741269841269841	NA	NA	0	0.0349206349206349	0.499047619047619	1	0.34047619047619	0.5	NA	0	NA	NA	0	1	0	1	1	1	0	1	0.666666666666667	0	NA	0.673651095553678	NA	0.671905125686638	0.566269841269841	1	1	0.719246890675462	1	0	1	NA	0.333333333333333	1	0	0	0.763123431190658	0	1	NA	0.5	0.525396825396825	0.487830687830688	0.575725491363942	0.0662698412698413	0.807936507936508	0.928344671201814	1	0.469047619047619	NA	0.359727462978603	0.614915595867977	0.261806025432736	0.326899922710217	0	0.289391548291226	NA	0.13512630696393	0	0.000690131124913734	0.000445037828215398	0.455167451596023	0.00366300366300366	0	0	0	0.329761904761905	NA	0.143578582096479	0.518264574165195	0.607405027115353	0.43171126902654	0.31507679995075	0.287881742735408	0.297854746074733	0.453023597498701	0.516517450124333	NA	0.209375344044867	NA	0.157851838381792	0.29817083501294	0.43346153597788	0.248039740587593	0.252006018997461	0.464089836476596	0.0399581412739307	0.327133695292124	0.241288100274738	0.352889448791922	0.384689702685707	0.295645389613208	0.359254121885392	0.182176731342749	0.322708439460509	0.342715438545431	NA	0.135099551689941	0	0	0.000566893424036281	0	NA	NA	NA	0	NA	0
chr9:66343685-66343703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0111111111111111	NA	NA	NA	0.00489533011272142	0.0224100810536981	0.0113123535319719	0.333333333333333	0.330268094478621	0	NA	0.0111111111111111	0.0409090909090909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.249151379389457	NA	0.0692436974789916	0.266111111111111	0.837121212121212	NA	0.5
chr13:100310275-100310282	NA	0	0	0.0277777777777778	0	0.0277777777777778	0	0	0	1	NA	NA	NA	NA	0	0.0185185185185185	0	0	0	NA	0.5	NA	NA	0	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0.0277777777777778	0	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	0	1	0	NA	0	1	1	1	1	0.277777777777778	0.311776261373036	1	0.519996750652356	0.552358926919519	0.111111111111111	0.494147978739174	NA	0.758190045248869	0.0708874458874459	0.0229034531360113	0.0645239156268568	0.0185185185185185	0.333333333333333	NA	1	0	0	0	0.139870075366779	0.5	0.152691511387164	0.195710533571315	0.572244180939833	0.130124777183601	0.104116809116809	0	0.050487987987988	0.346153846153846	0.0133333333333333	NA	0.111111111111111	0.00490196078431373	0.143010752688172	0.694444444444444	0.141520467836257	0.119572829131653	0.604964207905384	0.523237851973484	0.312046989338371	0.089813074352548	0.0572986954565902	0.116989815902859	0.625180375180375	0.065482435956435	0.229037532515793	0.32983682983683	0.035445880663272	0.472658406766934	0.6	NA	0.325321640592577	0.358872608872609	NA	0.0555555555555556	NA	0.5	0.5	0.5
chr20:17876509-17876617	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	0	0	NA	NA	1	NA	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.277777777777778	1	0.907407407407407	0.858333333333333	0.166666666666667	0.571428571428572	0.218275989641139	0.551912568306011	0	0	0.00980392156862745	0.142857142857143	0	0	0.952380952380952	0	0.305555555555556	0.0833333333333333	0.00900900900900901	0.229055258467023	0.482570806100218	0.24025974025974	0.169312169312169	0.603703703703704	0.185897435897436	0.024390243902439	0.0116959064327485	0.0158730158730159	0	0.331313131313131	0.019047619047619	0.2996632996633	0.00628930817610063	0.134680134680135	0.594285714285714	0.0170940170940171	0	0	0.05941770647653	0.00980392156862745	0.391376451077944	0.219339622641509	0.102977667493797	0.0615942028985507	0.224537037037037	0.519047619047619	0.00900900900900901	0.517857142857143	NA	0.166666666666667	NA	NA	0.300653594771242	0.0714285714285714	0.0740740740740741	NA	0.0666666666666667	NA
chr19:4327242-4327305	NA	0	0	0	0	0.0125	NA	0.025	NA	0.025	NA	NA	0.025	0	NA	0.0125	0.025	0	0	NA	0.00833333333333333	NA	NA	0	NA	0	0.5	0	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	1	NA	NA	NA	NA	0.0685714285714286	0	0	0	0.025	NA	0	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75661681914145	0.99375	0.628992793698676	0.545766646789903	0	0.420200777837758	NA	0.742211518753843	0.0348484848484849	0.004	0.00465116279069767	0.00666666666666667	0	0	0.0833333333333333	0.277777777777778	0.0181818181818182	0	0.00714285714285714	0.0691638795986622	0.466904761904762	0.0238185975609756	0.00526315789473684	0	0.0580779282489903	0.0121212121212121	0.01	NA	0.00555555555555555	NA	0.00588235294117647	0.02	0.0037037037037037	0.102153110047847	0.640401484480432	0	0.0206004140786749	0.0119924812030075	0.40907586763519	0.0125	0.014176245210728	0.0207357859531773	0.0203846153846154	0.006	0.0265203761755486	0.755372549019608	NA	0.426336675020886	NA	NA	0.00909090909090909	0.0303030303030303	0.0424242424242424	0.0729166666666667	0	0	NA	1
