	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP
chr10:114807535-114807675	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.866666666666667	0.466666666666667	0.523809523809524	0.644444444444444	0.875	0.6	0.458333333333333	0.462962962962963	0.222222222222222	0.605128205128205	0.5	0.5	0.476190476190476	0.5	0.916666666666667	0.538461538461538	0.933333333333333	NA	NA	NA	NA	NA	NA	NA	0.230555555555556	0.0833333333333333	0.230555555555556	0.0952380952380952	0.747474747474748	0.0833333333333333	0.194444444444444	0.0952380952380952	0.194444444444444	0.747474747474748	0.365079365079365	0.236111111111111	0.650793650793651	0	0.2	0.111111111111111	0	0.663678749671658	0.591908312620823
chr10:127615025-127615243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.25	0.5	1	1	0.75	0.5	0.285714285714286	0.5	NA	NA	0	0.5	1	0.666666666666667	0.5	1	NA	NA	NA	NA	NA	NA	NA	0.0344827586206897	0.198830409356725	0.0344827586206897	0.15906432748538	0.414814814814815	0.198830409356725	0.339869281045752	0.15906432748538	0.339869281045752	0.414814814814815	0.2	0.0714285714285714	0.235897435897436	0.484848484848485	0.289473684210526	0.523809523809524	0.157738095238095	0.264150943396226	0.0217391304347826
chr10:129536877-129536891	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0.413615857826384	0.615146944558709	0.197742504409171	1	0.333333333333333	0.75650623885918	1	1	0.399430512016719	0.793333333333333	0.277777777777778	1	1	NA	0.0838095238095238	0.56	1	1	NA	NA	NA	NA	NA	NA	0.173333333333333	0	0.173333333333333	0.0200501253132832	0.173333333333333	0	0.0740740740740741	0.0200501253132832	0.0740740740740741	0.173333333333333	0.535311355311355	0	0.627777777777778	0.42	0.535311355311355	0.0433333333333333	0	0.193116645560715	0.2259839785409
chr10:15429765-15429907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.205128205128205	0.5	0.666666666666667	0.5	0.142857142857143	0.666666666666667	0.5	0.944444444444445	0.866666666666667	0.5	0.5	0.333333333333333	1	1	1	0.875	1	NA	NA	NA	NA	NA	NA	NA	0.346153846153846	0.0909090909090909	0.346153846153846	0.471794871794872	0.365079365079365	0.0909090909090909	0.166666666666667	0.471794871794872	0.166666666666667	0.365079365079365	0.25	0.256944444444444	0.434343434343434	0.523809523809524	0.476190476190476	0.166666666666667	0.111111111111111	0.661163522012579	0.810266406757635
chr10:18299821-18299985	NA	NA	NA	NA	1	1	NA	0	NA	NA	NA	NA	NA	0.25	1	0.666666666666667	0.5	0.714285714285714	0.5	0.666666666666667	0.75	0.5	1	0.5	0	1	0.5	0.333333333333333	0.75	NA	0	NA	NA	NA	NA	NA	NA	0.317460317460317	0.916666666666667	0.317460317460317	0.0952380952380952	0.0769230769230769	0.916666666666667	0.21025641025641	0.0952380952380952	0.21025641025641	0.0769230769230769	0.0833333333333333	0.111111111111111	0.110294117647059	0.125	0	0.0666666666666667	0.133333333333333	0.272401433691756	0.404301075268817
chr10:57112776-57112917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.944444444444445	0.5	1	1	0.916666666666667	0.5	1	0.8	0.5	0.666666666666667	0.333333333333333	1	1	1	0.5	0.125	0.5	NA	NA	NA	NA	NA	NA	NA	0.388888888888889	0.111111111111111	0.388888888888889	0.216666666666667	0.471794871794872	0.111111111111111	0.357142857142857	0.216666666666667	0.357142857142857	0.471794871794872	0.166666666666667	0.666666666666667	0.208333333333333	0.114285714285714	0.166666666666667	0.555555555555555	0.166666666666667	0.318181818181818	0.109876543209877
chr10:7530600-7530728	0.23	0.166666666666667	0	0.0277777777777778	1	0.0555555555555556	1	0	NA	0	NA	NA	NA	0.244444444444444	0.407407407407407	0.388888888888889	0.166666666666667	0.355555555555556	0.694444444444444	0.422222222222222	0.546666666666667	0.533333333333333	0.677777777777778	0.388888888888889	0.23015873015873	0.347222222222222	0.388888888888889	0.0666666666666667	0.398148148148148	0.916666666666667	0.025	0	NA	NA	NA	NA	NA	0.155	0.0235294117647059	0.155	0.0819444444444444	0.101010101010101	0.0235294117647059	0.325577200577201	0.0819444444444444	0.325577200577201	0.101010101010101	0.153888888888889	0.037037037037037	0.5	0.132478632478632	0	0.3	0.166666666666667	0.0583703106091166	0.0432748538011696
chr10:90761628-90761750	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.422222222222222	0.875	0.622222222222222	0.434343434343434	0.545454545454545	0.166666666666667	0.25	0.547619047619048	0.407407407407407	0.153846153846154	0.523809523809524	1	0.622222222222222	0.133333333333333	0.888888888888889	0.958333333333333	0.166666666666667	NA	NA	NA	NA	NA	NA	NA	0.110294117647059	0.5	0.110294117647059	0.222222222222222	0.110294117647059	0.5	0.318181818181818	0.222222222222222	0.318181818181818	0.110294117647059	0.142857142857143	0.240476190476191	0.0357142857142857	0.388888888888889	0.133333333333333	0.125	0.166666666666667	0.423376623376623	0.436201445347787
chr10:95270990-95271181	1	NA	NA	0	1	NA	1	NA	NA	NA	NA	NA	NA	0.8	1	0.6	1	0.5	0.666666666666667	0.666666666666667	0.5	0.5	0.666666666666667	0.333333333333333	0	1	0.5	0	0.5	NA	NA	0	NA	NA	NA	NA	NA	0.166666666666667	0.2	0.166666666666667	0.348484848484848	0	0.2	0.151515151515152	0.348484848484848	0.151515151515152	0	0.166666666666667	0.166666666666667	0.133333333333333	0.3	0	0	0.0833333333333333	0.228070175438597	0.736111111111111
chr11:112705142-112705230	0	0.0833333333333333	0.0714285714285714	NA	0.25	0.277777777777778	0	0.333333333333333	NA	0.5	NA	1	0	0.407407407407407	0.388888888888889	0.294871794871795	0.111111111111111	0.458333333333333	0.809523809523809	0.235897435897436	0.592592592592593	0.634920634920635	0.272222222222222	0.476190476190476	0.476190476190476	1	0.888888888888889	0.5	0.944444444444445	0.166666666666667	0	0.111111111111111	NA	NA	NA	NA	NA	0.125	0.0416666666666667	0.125	0.305555555555556	0.430555555555556	0.0416666666666667	0	0.305555555555556	0	0.430555555555556	0.152777777777778	0.0641025641025641	0.130952380952381	0.5	0.0333333333333333	0.166666666666667	0.166666666666667	0.207308377896613	0.0958605664488017
