	Pvalue	FDR	Delta	MG1	MG2
chr10:101281365-101281408	0.0221417561921373	0.615127135336341	-0.16504627604801	0.798687847911444	0.963734123959454
chr10:101281518-101281565	0.0373338585601447	0.615127135336341	0.179424036752175	0.51682175069744	0.337397713945265
chr10:101282028-101282143	0.0246884355620507	0.615127135336341	0.164550479031738	0.673143844021585	0.508593364989847
chr10:101292552-101292645	0.04312644105642	0.615127135336341	4.91103912375393e-07	1.22461428791538e-06	7.33510375539986e-07
chr10:101294771-101294802	0.0186508312777913	0.615127135336341	0.0161952494396556	0.0223069623993248	0.0061117129596692
chr10:101371168-101371372	0.0130909826954164	0.615127135336341	0.0894614925935398	0.0894624438036384	9.5121009862329e-07
chr10:101673272-101673447	0.00818285406145578	0.615127135336341	0.258903095412444	0.432889939918838	0.173986844506395
chr10:102106357-102106454	0.0248951903856006	0.615127135336341	0.000519566685000976	0.000520504761172156	9.38076171179998e-07
chr10:102483869-102484008	0.0162792177198184	0.615127135336341	0.00332474716502464	0.00332594473835642	1.19757333178325e-06
chr10:102489512-102489585	0.0443795703780231	0.615127135336341	6.65046303600362e-07	1.09226391213891e-06	4.27217608538543e-07
chr10:102672805-102673042	0.0311159698713963	0.615127135336341	0.000522907991443983	0.000638210224133975	0.000115302232689992
chr10:102757524-102757552	0.00407039208600404	0.526081191413083	-8.70548491181675e-07	8.66595487319323e-07	1.737143978501e-06
chr10:102790948-102791047	0.0155951557876231	0.615127135336341	0.00173858143645844	0.00187274376647785	0.000134162330019413
chr10:102792107-102792336	0.0100792217203701	0.615127135336341	0.000640138013726495	0.000699195153608019	5.90571398815237e-05
chr10:103044174-103044181	0.0179324284528941	0.615127135336341	0.00793665168570463	0.00793744554475945	7.93859054813681e-07
chr10:103329852-103329878	0.036750208165495	0.615127135336341	-9.86952748355078e-07	8.95785462883019e-07	1.8827382112381e-06
chr10:104574428-104574486	0.000310834870860862	0.135075196203225	0.313472635708929	0.630091113766569	0.31661847805764
chr10:104840711-104840823	0.000485121719509343	0.17033326287994	0.305768081895786	0.521400152673989	0.215632070778204
chr10:105395431-105395563	0.00658041553271681	0.615127135336341	0.371142186804595	0.760695090118694	0.389552903314099
chr10:105428528-105428582	0.0123740015151186	0.615127135336341	0.253195104457392	0.253195819844068	7.15386675494013e-07
