	Pvalue	FDR	Delta	MG1	MG2
chr10:106017115-106017230	1.06457635873809e-06	0.00456011283265462	0.578234450267574	0.842593830668027	0.264359380400454
chr10:126812578-126812651	5.98264952860981e-07	0.00320333490697502	0.526070704465074	0.729034050211404	0.20296334574633
chr10:13325693-13325757	2.62986445299395e-06	0.00702949838333491	0.391901715941298	0.730971999694844	0.339070283753546
chr10:29313609-29313672	2.71005493757656e-06	0.00702949838333491	0.516055419991272	0.905229531113864	0.389174111122592
chr11:111263785-111263970	4.51675594368148e-05	0.0425220309555157	0.509439586494502	0.736292432357748	0.226852845863246
chr11:120001526-120001642	1.09970711280189e-05	0.0177758317648562	0.422688461308912	0.58553712302076	0.162848661711848
chr11:133895208-133895289	4.3145506885556e-07	0.00276372996518915	0.428146063907155	0.71093199709304	0.282785933185884
chr11:70675047-70675064	1.34970067079936e-06	0.00481786901947422	0.430441648469903	0.815471770806177	0.385030122336274
chr12:122473294-122473391	6.36866837840342e-07	0.00320943423516365	0.393581142892534	0.553624770569166	0.160043627676632
chr12:124871335-124871358	2.63360349348263e-05	0.0326986683024141	0.452420367700238	0.683913861794658	0.231493494094419
chr12:19566094-19566384	7.95168108852065e-06	0.0139633944020396	0.39314471512957	0.721240628330802	0.328095913201232
chr12:3365459-3365473	2.59337831134412e-05	0.0326986683024141	0.371627400088913	0.71885080396065	0.347223403871737
chr12:43222081-43222305	1.91487970487051e-06	0.00621507308853382	0.588136751725381	1.00000075244375	0.411864000718366
chr12:52438106-52438158	3.29805856517337e-05	0.0362236765741542	0.462194259866221	0.696071212500004	0.233876952633783
chr12:82694845-82694974	1.38148344148869e-05	0.0204243290799932	0.570074073443042	1.00000114670781	0.429927073264772
chr14:102681468-102681585	3.86903668910994e-06	0.0081930365984311	0.432015746980462	0.572512328090156	0.140496581109694
chr14:53163890-53163916	2.81865911193014e-05	0.0339584564023731	0.619032568399868	0.750000629455685	0.130968061055817
chr15:40716967-40717206	3.89436926188773e-05	0.0401964595983038	0.346359486879802	0.474603994649079	0.128244507769276
chr15:41215634-41215756	4.71172685022039e-05	0.0434036171245571	0.42328468767725	0.63125642897809	0.20797174130084
chr15:77320659-77320671	4.43188494090226e-05	0.0421866203207885	0.337858176636896	0.62598636308423	0.288128186447333
