	NCT	NCT	NCT	NCT	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	WB	WB	WB	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP
chr10:30960299-30960388	NA	NA	0.242424242424242	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	0.277777777777778	0.0333333333333333	0.1	0	0.277777777777778	0.117647058823529	0.1	0.117647058823529	0	0.0277777777777778	0.0952380952380952	0	0.0416666666666667	0	0.111111111111111	0.0476190476190476	0.0151515151515152	0.0181818181818182	NA	NA	0.0555555555555556	0.0476190476190476	0.0740740740740741	0.0555555555555556	0.111111111111111	1	NA	NA	NA	NA	NA	0.0465116279069767	NA	0.134680134680135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	0.0512820512820513	0.185185185185185	0	0	0.177777777777778	0.148148148148148	0.0740740740740741	0.05	0.155555555555556	0.137254901960784	1	0.0833333333333333	0.365079365079365	0.0476190476190476	0.0588235294117647	0.111111111111111
chr10:81001854-81001945	1	NA	0.923611111111111	NA	NA	NA	NA	NA	NA	NA	NA	0.0138888888888889	0	0.0138888888888889	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0.5	0.133049242424242	0.479556409478545	0	1	0	0	0.466666666666667	0.0238095238095238	0.305555555555556	NA	NA	NA	NA	0	NA	0.0555555555555556	NA	0	NA	0	0	NA	0	0	NA	0	NA	NA	NA	NA	NA	0	0	0.037037037037037	0.833333333333333	0	0	0	0	0.0476190476190476	0.5	0	0	0	0	0	0	0
chr12:31271782-31271882	NA	NA	0.253333333333333	NA	NA	0	NA	NA	NA	NA	NA	0	0	0	0.0631193368035473	0	0	0.0138888888888889	0.0631193368035473	0.0138888888888889	0	0.00555555555555555	1	0	0	0	NA	0.277777777777778	0.0132411067193676	0.142110177404295	0	NA	0	0.103703703703704	0.386904761904762	0.805555555555555	0	NA	NA	NA	NA	NA	NA	0.0128205128205128	NA	0.0811965811965812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.341346153846154	0.773809523809524	0	0	0	0.0654761904761905	0	0.203508771929825	0	0.690972222222222	0	NA	0	NA	0.464285714285714	0.238154960981048	0
chr12:48513595-48513742	1	NA	0.0289855072463768	NA	NA	NA	NA	NA	NA	NA	NA	0.1	0	0.1	0.233333333333333	0.037037037037037	0	0.124074074074074	0.233333333333333	0.124074074074074	0.037037037037037	0.0277777777777778	0	0.0119047619047619	0.0666666666666667	0	0	0.0416666666666667	0.0128205128205128	0.00694444444444444	NA	0.166666666666667	0	0.333333333333333	0.25	0.5	0	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.166666666666667	0	0.0416666666666667	0	0	0	0.0303030303030303	0	0	0.133333333333333	0	0	NA	NA	0	0
chr12:54826042-54826184	NA	NA	0.253968253968254	NA	NA	NA	NA	0	NA	NA	NA	0.0823028673835125	0	0.0823028673835125	0.0681159420289855	0.0333333333333333	0	0.0151515151515152	0.0681159420289855	0.0151515151515152	0.0333333333333333	0.224242424242424	0.0663636363636364	0.444444444444444	0.0357142857142857	0	0.0277777777777778	0	0.292156862745098	0.0846822742474916	NA	NA	0.142857142857143	0.0555555555555556	0.0666666666666667	0.355555555555556	0.8	NA	NA	NA	NA	NA	NA	0.0119047619047619	NA	0.166666666666667	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.0666666666666667	0.277777777777778	0.0740740740740741	0.0833333333333333	0.0666666666666667	0.430555555555556	0.0666666666666667	0.111111111111111	0.111111111111111	0.111111111111111	0.133333333333333	0.888888888888889	0	0	0.125	0.0740740740740741	0
chr12:6649847-6649877	NA	NA	0.526147062813729	NA	0.0166666666666667	NA	NA	0	NA	NA	NA	0.158744588744589	0	0.158744588744589	0.252484848484848	0	0	0	0.252484848484848	0	0	0	0.496969696969697	0	NA	0	0	0	0.0922193489421585	0.0556301888933468	0	1	0	NA	0	0	0	NA	0	0.185185185185185	NA	1	NA	0	NA	0.0166666666666667	NA	NA	0.179166666666667	0	0	NA	0	0.0166666666666667	NA	NA	NA	NA	NA	0.158744588744589	0	0	0.87	0	0	0	0	0	NA	0	1	1	0	0	0	0
chr12:6649887-6649945	NA	NA	0.748035914702581	NA	0	NA	NA	NA	NA	NA	NA	0.0793650793650794	0	0.0793650793650794	0.120401337792642	0	0	0.0416666666666667	0.120401337792642	0.0416666666666667	0	0	0.445833333333333	0.472222222222222	0	0	0	0	0.00555555555555556	0.0423280423280423	0	1	0	0	0	0.0128205128205128	0	NA	0	NA	NA	1	NA	0	NA	NA	NA	NA	0.822222222222222	0	0	NA	0	0	NA	NA	NA	NA	NA	0.365079365079365	0.0740740740740741	0	0	0	0	0	0.0277777777777778	0	0.134615384615385	0	0	0.166666666666667	0	0.0416666666666667	0	0
chr13:39261934-39261954	1	0	0	NA	0	0	0	0	0.142857142857143	0	0	0	NA	0	0	NA	NA	0	0	0	NA	0	0	0	0	NA	NA	0	0.0921122439692508	0.560548595946826	NA	1	0	0	0	0.0811965811965812	0	NA	0.5	0	1	0	0	0	0	NA	1	0	0.125	0.0333333333333333	0	0	0.25	0	0.125	0.153846153846154	0.4	0.181818181818182	0.214285714285714	0.0732600732600733	0	0	0.00925925925925926	0	0.00505050505050505	0	0.0119047619047619	0	0	0	0.0166666666666667	0	0	0	0	0.0185185185185185
chr16:28432810-28432903	1	NA	0.134006734006734	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0518768173407349	0.151910660660661	0.888888888888889	0.722222222222222	NA	NA	NA	NA	NA	NA	NA	1	1	0.518518518518518	0.892857142857143	NA	NA	0	NA	NA	NA	0.5	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr16:72821563-72821613	NA	0	0.450250993348481	NA	NA	0	NA	NA	NA	NA	NA	0.176587301587302	0	0.176587301587302	NA	0	0	0	NA	0	0	NA	0	0	0.0338271604938272	0	NA	0	0.0228507047642105	0.0003584229390681	NA	NA	0	0	0.833146544813211	0	0.48337152690623	NA	0	NA	NA	NA	NA	0	NA	0	NA	NA	0.72847442680776	NA	0	NA	NA	0	NA	NA	NA	NA	NA	0	0	0	0	0	0.00595238095238095	0	0	0.0181355349157207	0	0.897765246449457	0	0	NA	0	0	0
