	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	PCP	PCP	PCP	PCP	PCP	PCP	PCP	PCP	PCP	PCP	PCT	PCT	PCT	PCT	PCT	NPT	NPT	NPT	WB	WB	WB	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT
chr4:68411077-68411094	0	0	NA	0	0	0	1	0.166666666666667	0	0.166666666666667	0	1	0	0	0	0	1	0	0.822222222222222	0	0	1	0	1	0	1	1	1	0.177777777777778	0	0	1	0.166666666666667	0.130952380952381	0	0.111111111111111	0.122222222222222	0.5	0.533333333333333	1	0.333333333333333	0	0	0.00231481481481481	0	0	0.0037037037037037	0	NA	0	0	0	0	0	0	0	0	0	0	0	0.0422542547234918	0	0.00497512437810945	0	0	0	0	0.0208333333333333	NA	0.0235017626321974	NA	0.0950089126559715	0.0864247311827957	0.00969769930444088	0.00165016501650165	0	0.00378787878787879	0.00282485875706215	0	0	0	0	0	0	0	NA	0	0	0	0	NA	NA	NA	0
chr8:125741021-125741027	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	NA	NA	NA	0.138888888888889	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0.6625	1	NA	NA	0.0185185185185185	0	0.0555555555555556	0.222916666666667	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	0.385281385281385	0	0.0416666666666667	0.0128205128205128	0	0	0.0367149758454106	0.0555555555555556	0.218589743589744	NA	NA	0	0.475925925925926	0	NA	NA	0.277777777777778	NA	0.00505050505050505	0.105779748706578	0.0698139025725232	0.45	0.23478835978836	0.107503607503608	0	0.0119047619047619	0.0494505494505494	0	NA	0.0608465608465608	NA	NA	0.0462962962962963	NA	0	0	NA	NA	NA	0
chr10:102500752-102500903	NA	NA	NA	0	0	NA	NA	0	0	0	0	NA	0	NA	NA	NA	0	0	1	0	0	NA	0.166666666666667	NA	0	NA	0	0	NA	0	0	NA	0.166666666666667	NA	0	0	NA	NA	NA	1	NA	0.5	0.157894736842105	0.138888888888889	0.032258064516129	0.0161290322580645	0.0147058823529412	0.111111111111111	0	0	0	0	0.142857142857143	0.166666666666667	0.0178571428571429	0.0277777777777778	0.0555555555555556	0.0285714285714286	0	0.0238095238095238	0.0111111111111111	0.0416666666666667	0.0340136054421769	0.439080459770115	0.0444444444444444	NA	0.0277777777777778	0.0740740740740741	0.0196078431372549	0.0476190476190476	0.0606060606060606	0.0454545454545454	0.188461538461538	0.0178571428571429	0.0141843971631206	0.0967365967365967	0.0205128205128205	0.00617283950617284	0.0266666666666667	0.0155038759689922	0.00925925925925926	0.0222222222222222	0.0321285140562249	0.0384615384615385	0	0.111111111111111	NA	0.0133333333333333	NA	NA	0.0277777777777778	0	NA	0
chr16:2318018-2318065	0.089665096807954	0	1	0	NA	0.015460729746444	0.141269841269841	0.00793650793650794	0	0	0.474206349206349	0.47766439909297	NA	0.0428571428571429	1	0	0	0.100952380952381	NA	0.0214285714285714	0.11384250669965	0.0152060824329732	0	0.0527777777777778	0	0	0	NA	0	0.00396825396825397	0.412292189603114	0	0.00476190476190476	NA	0.115873015873016	0	0.231746031746032	0.15	0.236982065553494	1	0.0833333333333333	NA	0	0.00308641975308642	0	0.00867355002693349	0.127140963983069	0	0	NA	NA	0	0.00216450216450216	0	0	0	0	0	0.037037037037037	0	0	0	0.0032117640813293	NA	0	0.0019047619047619	0.0159830165832567	0	0	0	0	0	0	0.0199654063882425	0	0	0.0245191454508225	0.000541125541125541	0.00808261829767206	0	0.000690131124913734	0	NA	0.02981479673209	0	0	0.562752245018255	NA	NA	0	NA	0	NA	0
chr2:131185539-131185584	NA	NA	0	NA	NA	NA	0.141666666666667	NA	NA	NA	0	0	0	NA	NA	NA	NA	0	NA	NA	0.0708333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	0	NA	NA	NA	NA	1	NA	NA	NA	0.247857142857143	0.00606060606060606	0	0.00465116279069767	0.0037037037037037	0	NA	0	0	0	0	NA	0.0297101449275362	0.00625	0	0.0325	0	0.0475935828877005	0.224119286510591	0.0533333333333333	0.0486111111111111	NA	0.744444444444444	0.0763636363636364	0.177777777777778	0	NA	0.0928571428571429	0.363492063492063	0.685238095238095	0.019047619047619	0.107498829956106	0.0270516717325228	0.386227422003284	0	0.0843410364145658	0.0233846153846154	0.126320921985816	0.0177777777777778	0.224545454545455	NA	0.159385026737968	NA	NA	0.558827464096006	0.670714285714286	NA	0.771071428571429	0.658333333333333	0	0.666666666666667	NA
chr10:43905388-43905424	0.71	NA	NA	0	NA	0	NA	NA	0	0	NA	NA	0	0.208042328042328	NA	NA	0.0933333333333333	NA	0.579372294372294	0	0	0	0	0	0	NA	NA	0	0	NA	0	0	0	NA	0	0	0.5	0.0133333333333333	NA	1	0	0	0	0.0153719538393576	0	0	0	0	NA	0	0	0	0.0133333333333333	NA	0.0035893011216566	0.00148148148148148	0.00606060606060606	0.0142373142373142	0.00617283950617284	0.00202020202020202	0.0261939521868485	0.00173160173160173	0.0712254458872505	0.00962264150943396	0.00377358490566038	NA	0.122051627668611	0.0729881012233953	0.00238095238095238	0.00793103448275862	0	0.0880824372759857	0.0274591319673937	0.0178698584662733	0.0566408214581408	0.0297499518042476	0.0230780747354265	0.023731218593748	0.0694656299482383	0.033185733776285	0.0780079372729196	0.00864197530864197	0.0159654289066054	0.107216676728872	0.80793984962406	0.680503795721187	NA	0.823699633699634	NA	NA	0.829652066279973	0.120502645502646	NA	0.115925925925926
chr2:234847658-234847669	NA	1	0	1	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	0.0583333333333333	NA	NA	0.330769230769231	0	0.025	0	0.5	0	0	NA	NA	1	NA	NA	0	0.0130977130977131	0.0836027608754882	0.103260910788952	0.0314731020613374	0.0775340971085652	0	NA	0	0	0.00833333333333333	0	NA	0.0435926359442945	0.00232558139534884	0.199722222222222	0.0465937824124688	0.216658337497918	0	0.0120141798259749	0.003125	0.00929339477726574	NA	0	0.10536036036036	0	0.0745641140468727	NA	0.0781054131054131	0.003125	0.0136499786050492	0.062909345757492	0.0348151398151398	0.0975349678118994	0.107581971961534	0.064617640424092	0.151235304756737	0.0728811406343216	0.0742412839568967	0.00637362637362637	0.183618233618234	NA	0.211043643263757	NA	NA	0.469164335664336	0.522468117029257	NA	0.759204644412192	0.675238095238095	0.0371428571428571	0.799761904761905	NA
chr12:54389923-54389945	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	NA	0	0.5	NA	NA	NA	NA	NA	0	0	1	0	0	NA	NA	NA	0.169097222222222	0.144047619047619	0.00505050505050505	0.00347222222222222	0.0087719298245614	0.0333333333333333	0	NA	0.277777777777778	0	NA	0	0.373048097582432	0.0762527233115468	0.00416666666666667	0.0475810738968634	0.00694444444444444	0	0.00200803212851406	0	0	0.663503291089498	0.905987394957983	0	0	0.0488215488215488	NA	0	0.00595238095238095	0.0101010101010101	0.593405024188378	0.508512321012321	0.0952733860342556	0.0105820105820106	0	0.0107638888888889	0	0.00892857142857143	0.00252525252525253	0	0.00280112044817927	0.00333333333333333	NA	0	0.00649350649350649	0.00354609929078014	NA	0.0133333333333333	0	0	NA	0
chr19:42386716-42386927	NA	0	NA	NA	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	0	0	NA	0	0	NA	0.888888888888889	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0.00680272108843537	NA	0	1	0	0	NA	NA	0.00462962962962963	0.0698696145124716	0.0649548186857287	0	0.00214285714285714	0	0	0.0261789851075565	0	0.142857142857143	0.0018796992481203	0	0	0.00211640211640212	0.0147372007837124	0.00496031746031746	0.0066776135741653	0.00641025641025641	0.00113378684807256	0.00786695723404584	0.00138026224982747	0.00863354524762578	NA	0.0142857142857143	NA	0.00183150183150183	0.00469483568075117	0.00396825396825397	0.00925703614779245	0.00618309339239572	0.00603174603174603	0.0064484126984127	0.0075944170771757	0.00248988484282602	0.000865800865800866	0.0102189023757651	0.00614502655318982	0.00324675324675325	0.0027124773960217	0.0101792943898207	0.00514800514800515	NA	0.0182335737283796	NA	NA	0.00645112325440194	0.00614439324116743	0.00649350649350649	0.0142857142857143	0.00952380952380952	0.01	NA	0.0277777777777778
chr4:184828149-184828160	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	NA	NA	NA	0	0	0	NA	0	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	0	0.0948051948051948	0.0869166380002293	0.0135135135135135	0	0.00476190476190476	0	0	0	0	0	0.0087719298245614	0	0.0956802721088435	0.199950396825397	0.253086419753086	0.209750337381916	0.113631780600928	0.0430555555555555	0.0597674742411584	0.0597147950089127	0	0	0	0.131944444444444	0.0114942528735632	0	NA	0	NA	0.0249554367201426	0.00245098039215686	0.00142450142450142	0.288969927940951	0.0517512107237897	0.0146587265231333	0.247731667410382	0.182335600907029	0.0463524464417853	0.0636936592818946	0	0.0653165480751688	0.0148148148148148	0	NA	0	0.00641025641025641	0	0	NA	NA	NA	0
