""	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCP"	"CCT"	"CCT"	"CCT"	"CCT"	"CCT"	"CCT"	"CCT"	"CCT"	"CCT"	"CCT"	"CCT"	"CCT"	"CCT"	"NCT"	"NCT"	"NCT"	"NCT"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"NP-Kun"	"WB"	"WB"	"WB"
"chr10:105668206-105668275"	0	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0	0.0765619673550209	0.0765619673550209	0.0765619673550209	0	0.240740740740741	0.0185185185185185	0	0	0	0	0	0	0.0765619673550209	0	0	0	0	0	0	0	0.179040748775828	0.179040748775828	0	0.861111111111111	0	0	0.0555555555555556	0.179040748775828	0.179040748775828	0	0.179040748775828	0	0.179040748775828	0.28286721263858	0.28286721263858	0.190531475748194	0.28286721263858	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0	0.111111111111111	0	0	0	0.111111111111111	0	0	0	0	0	0	0.0833333333333333	0	0	0	0	0.00333333333333333	0.0037037037037037	0.0555555555555556	0.060044734285116	0.111111111111111
"chr10:35029036-35029209"	0.0765619673550209	0.0765619673550209	0.5	0	0.0765619673550209	0.166666666666667	0.0765619673550209	0	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.166666666666667	0.0765619673550209	0.0833333333333333	0.455555555555556	0.181818181818182	0	0.166666666666667	0.809523809523809	0.166666666666667	0.355555555555556	0.0666666666666667	0.142857142857143	0.541666666666667	0.2	0.0952380952380952	0	0.133333333333333	0.0952380952380952	0.0666666666666667	0	0	0.0666666666666667	0.476190476190476	0.0666666666666667	0.25	0.388888888888889	0	0.0238095238095238	0.179040748775828	0.179040748775828	0.0416666666666667	0.179040748775828	1	0.28286721263858	0.177777777777778	0.28286721263858	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.111111111111111	0.0666666666666667	0.111111111111111	0.11965811965812	0	0.0666666666666667	0.0555555555555556	0.11965811965812	0.0555555555555556	0	0.0555555555555556	0.0833333333333333	0.111111111111111	0	0.0185185185185185	0.0833333333333333	0	0.0238095238095238	0.145912698412698	0.0303030303030303	0.060044734285116	0.0303030303030303
"chr10:71338830-71338930"	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.25	0.5	0	0.0606060606060606	0.166666666666667	0	0.0476190476190476	0	0	0.2	0.5	0.333333333333333	0.25	0	0.0416666666666667	0	0	0	0.179040748775828	0	0	0.285714285714286	0.666666666666667	0	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0	0.179040748775828	0.28286721263858	0.28286721263858	0.147869674185464	0.28286721263858	0	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0166666666666667	0.0277777777777778	0.0166666666666667	0.0238095238095238	0.0208333333333333	0.0277777777777778	0.142701525054466	0.0238095238095238	0.142701525054466	0.0208333333333333	0.0294117647058824	0.0416666666666667	0.125	0	0.0277777777777778	0.0238095238095238	0.0416666666666667	0.0448275862068966	0.055193394176445	0.0833333333333333	0.060044734285116	0.13968253968254
"chr10:75668876-75669009"	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0	0.037037037037037	0	0	0.0833333333333333	0	0	0	0	0	0	0.466666666666667	0	0.0765619673550209	0	0	0	0.179040748775828	0.179040748775828	0.0555555555555556	0.0238095238095238	0.0555555555555556	0.40952380952381	0.0625	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.28286721263858	0.28286721263858	0.591666666666667	0.28286721263858	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0	0	0	0.193939393939394	0	0	0.0256410256410256	0.193939393939394	0.0256410256410256	0	0	0	0	0.0833333333333333	0	0	0	0.00905797101449275	0.0072463768115942	0.111111111111111	0.060044734285116	0.133333333333333
"chr11:555904-555933"	0	0	0	0	0	0	0	0	0.0833333333333333	0	0	0	0	0.00980392156862745	0.0138888888888889	0	0	0.0256410256410256	0	0	0.0087719298245614	0	0.833333333333333	0	0.0765619673550209	0	0	0	0	0	1	0	0	0.5	0	0	0.0128205128205128	0.179040748775828	0	0	0.179040748775828	0	0.179040748775828	0.28286721263858	0	0.402777777777778	0.0053763440860215	0	0	0.111111111111111	0.0833333333333333	0	0	0	0	0.0224680594971395	0	0	0	0.0224680594971395	0	0	0	0	0	0	0	0.0416666666666667	0.0224680594971395	0	0	0.00336700336700337	0.0112994350282486	0	0.060044734285116	0.060044734285116
"chr12:119151856-119152001"	0	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.288888888888889	0.333333333333333	0.0277777777777778	0	0.0416666666666667	0.0555555555555556	0.0666666666666667	0.0555555555555556	0	0.0666666666666667	0.0833333333333333	0.111111111111111	0.0666666666666667	0	0	0.0952380952380952	0	0.179040748775828	0	0.0833333333333333	0.333333333333333	0.037037037037037	0.111111111111111	0.0784313725490196	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.277777777777778	0.179040748775828	0.28286721263858	0.28286721263858	0.101532567049808	0.28286721263858	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0277777777777778	0	0.0277777777777778	0.0769230769230769	0.0138888888888889	0	0.0111111111111111	0.0769230769230769	0.0111111111111111	0.0138888888888889	0	0.0277777777777778	0	0	0	0.0476190476190476	0	0.0385208012326656	0.009375	0.0277777777777778	0.060044734285116	0.0833333333333333
"chr12:128445428-128445691"	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	1	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.185185185185185	0.155555555555556	0.148148148148148	0.148148148148148	0.444444444444444	0.571428571428572	0.111111111111111	0.142857142857143	0.6	0.916666666666667	0.166666666666667	0.8	0.666666666666667	0.111111111111111	0.0833333333333333	0.714285714285714	0.5	0.179040748775828	0.179040748775828	0.166666666666667	0.166666666666667	1	0.521008403361345	0.125	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.28286721263858	0.28286721263858	0.385689023620058	0.28286721263858	0.0224680594971395	0	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.117647058823529	0.0416666666666667	0.117647058823529	0.0634920634920635	0.187830687830688	0.0416666666666667	0.0952380952380952	0.0634920634920635	0.0952380952380952	0.187830687830688	0.0833333333333333	0.0454545454545454	0.111111111111111	0.0925925925925926	0.15	0.0666666666666667	0.096969696969697	0.0740740740740741	0.0718390804597701	0.104938271604938	0.060044734285116	0.188405797101449
"chr12:52414563-52414650"	0	0.0765619673550209	0.0765619673550209	0.0765619673550209	0	0.0765619673550209	0	0.0765619673550209	0.0765619673550209	0	0	0	0.0765619673550209	0.037037037037037	0.0256410256410256	0.0476190476190476	0	0	0	0	0	0	0.0416666666666667	0.0555555555555556	0.0833333333333333	0	0.0555555555555556	0.0666666666666667	0	0	0.179040748775828	0.179040748775828	0.466666666666667	0.5	0.166666666666667	0.0666666666666667	0.0666666666666667	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0	0.179040748775828	1	0	0.494047619047619	0.28286721263858	0.0224680594971395	0	0.0224680594971395	0	0.0224680594971395	0.0224680594971395	0.0224680594971395	0	0	0	0	0.00925925925925926	0	0	0	0	0.00925925925925926	0	0.108333333333333	0	0	0	0	0	0.0104166666666667	0.0820360761057573	0.0277777777777778	0.060044734285116	0.269230769230769
"chr12:8113233-8113263"	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.179040748775828	0.179040748775828	0.0555555555555556	1	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.179040748775828	0.28286721263858	0.28286721263858	0.4875	0.28286721263858	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0	0	0	0	0.0666666666666667	0	0	0	0	0.0666666666666667	0	0	0	0.0224680594971395	0	0	0	0	0	0.0566448801742919	0.060044734285116	0.216666666666667
"chr12:93967470-93967553"	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0416666666666667	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0765619673550209	0.0238095238095238	0	0.317460317460317	0	0	0	0.037037037037037	0.0333333333333333	0	0	0	0	0.0833333333333333	0	0	0	0	0	0.179040748775828	0	0.652777777777778	0	0.188888888888889	0	0.179040748775828	0.0555555555555556	0.179040748775828	0.179040748775828	0	0.179040748775828	0.28286721263858	0.28286721263858	0.907051282051282	0.28286721263858	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0.0224680594971395	0	0.0555555555555556	0	0	0	0.0555555555555556	0.0128205128205128	0	0.0128205128205128	0	0	0	0	0	0	0	0	0.0315503481066395	0.0275783475783476	0.00520833333333333	0.060044734285116	0
