V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20
1 chr5 88179963 88180074 2 chr5 88179963 88180074 4 111 chr5 88179841 88180002 2 39 chr5 88179146 88328193 MEF2C-AS1 NR_109941 111
2 chr5 88179963 88180074 2 chr5 88179963 88180074 4 111 chr5 88179841 88180002 2 39 chr5 88014057 88199922 MEF2C NM_001131005 111
3 chr5 88179963 88180074 2 chr5 88179963 88180074 4 111 chr5 88179841 88180002 2 39 chr5 88014057 88199922 MEF2C NM_001193347 111
4 chr10 115323240 115323363 7 chr10 115323240 115323363 21 123 chr10 115323240 115323363 1 123 chr10 115312777 115349360 HABP2 NM_004132 123
5 chr10 115323240 115323363 7 chr10 115323240 115323363 21 123 chr10 115323240 115323363 1 123 chr10 115310589 115349360 HABP2 NM_001177660 123
6 chr1 36397196 36397486 1 chr1 36397457 36397646 10 29 chr1 36397092 36397214 1 18 chr1 36396682 36522063 AGO3 NM_024852 290
7 chr1 36397196 36397486 1 chr1 36397457 36397646 10 29 chr1 36397092 36397214 1 18 chr1 36396682 36522063 AGO3 NM_177422 290
8 chr17 34136750 34136814 2 chr17 34136750 34136814 2 64 chr17 34136540 34136766 1 16 chr17 34136458 34174246 TAF15 NM_139215 64
9 chr17 34136750 34136814 2 chr17 34136750 34136814 2 64 chr17 34136540 34136766 1 16 chr17 34136458 34174246 TAF15 NM_003487 64
10 chr15 66797218 66797971 8 chr15 66797003 66797226 14 8 chr15 66797218 66797971 3 753 chr15 66797420 66841822 ZWILCH NM_001287823 551
11 chr15 66797218 66797971 8 chr15 66797003 66797226 14 8 chr15 66797218 66797971 3 753 chr15 66797420 66841822 ZWILCH NM_001287822 551
12 chr15 66797218 66797971 8 chr15 66797003 66797226 14 8 chr15 66797218 66797971 3 753 chr15 66797420 66841822 ZWILCH NM_001287821 551
13 chr15 66797218 66797971 8 chr15 66797003 66797226 14 8 chr15 66797218 66797971 3 753 chr15 66797420 66841822 ZWILCH NM_017975 551
14 chr8 64080846 64080965 6 chr8 64080846 64080965 2 119 chr8 64080777 64080880 1 34 chr8 64080283 64081001 YTHDF3-AS1 NR_102684 119
15 chr16 3185250 3185359 16 chr16 3185187 3185279 15 29 chr16 3185317 3185476 1 42 chr16 3185056 3192805 ZNF213 NR_104432 109
16 chr16 3185250 3185359 16 chr16 3185187 3185279 15 29 chr16 3185317 3185476 1 42 chr16 3185056 3192805 ZNF213 NM_004220 109
17 chr16 3185250 3185359 16 chr16 3185187 3185279 15 29 chr16 3185317 3185476 1 42 chr16 3185133 3192805 ZNF213 NM_001134655 109
18 chr9 131592023 131592100 14 chr9 131591998 131592061 10 38 chr9 131591998 131592061 1 38 chr9 131581929 131592100 C9orf114 NM_016390 77
19 chr9 131592023 131592100 14 chr9 131591998 131592061 10 38 chr9 131591774 131592039 2 16 chr9 131581929 131592100 C9orf114 NM_016390 77
20 chr14 45366783 45366926 22 chr14 45366884 45366954 13 42 chr14 45366538 45366822 1 39 chr14 45366506 45376460 C14orf28 NM_001017923 143
21 chr17 42852244 42852455 9 chr17 42852427 42852510 24 28 chr17 42852244 42852455 1 211 chr17 42836567 42859214 ADAM11 NM_002390 211
22 chr4 184366132 184366238 6 chr4 184366195 184366280 7 43 chr4 184365646 184366176 1 44 chr4 184365788 184369049 CDKN2AIP NM_017632 106
23 chr2 112813381 112813819 14 chr2 112813818 112814002 3 1 chr2 112813169 112813421 1 40 chr2 112812799 112876895 TMEM87B NM_032824 438
24 chr5 133702645 133702765 12 chr5 133702604 133702692 13 47 chr5 133702645 133702765 2 120 chr5 133643691 133702765 CDKL3 NM_016508 120
25 chr5 133702645 133702765 12 chr5 133702604 133702692 13 47 chr5 133702645 133702765 2 120 chr5 133634114 133706738 CDKL3 NM_001300853 120
26 chr5 133702645 133702765 12 chr5 133702604 133702692 13 47 chr5 133702645 133702765 2 120 chr5 133634114 133702765 CDKL3 NM_001113575 120
27 chr6 31707746 31708094 2 chr6 31707681 31707793 15 47 chr6 31707681 31707793 1 47 chr6 31707724 31730455 MSH5 NM_025259 348
28 chr6 31707746 31708094 2 chr6 31707681 31707793 15 47 chr6 31707681 31707793 1 47 chr6 31707724 31730455 MSH5 NM_172166 348
29 chr6 31707746 31708094 2 chr6 31707681 31707793 15 47 chr6 31707681 31707793 1 47 chr6 31707724 31730455 MSH5 NM_002441 348
30 chr6 31707746 31708094 2 chr6 31707681 31707793 15 47 chr6 31707681 31707793 1 47 chr6 31707724 31732624 MSH5-SAPCD1 NR_037846 348
31 chr6 31707746 31708094 2 chr6 31707681 31707793 15 47 chr6 31707681 31707793 1 47 chr6 31707724 31730455 MSH5 NM_172165 348
32 chr12 125398614 125398950 2 chr12 125398913 125399015 8 37 chr12 125398614 125398950 1 336 chr12 125396190 125399587 UBC NM_021009 336
33 chr8 17780325 17780417 5 chr8 17780325 17780417 10 92 chr8 17780371 17780916 1 46 chr8 17780365 17887457 PCM1 NM_006197 52
34 chr14 24563777 24563891 1 chr14 24563845 24563909 8 46 chr14 24563845 24563909 1 46 chr14 24563339 24569962 PCK2 NM_001018073 114
35 chr14 24563777 24563891 1 chr14 24563845 24563909 8 46 chr14 24563845 24563909 1 46 chr14 24563339 24573341 PCK2 NM_004563 114
36 chr14 24563777 24563891 1 chr14 24563845 24563909 8 46 chr14 24563845 24563909 1 46 chr14 24563489 24573341 PCK2 NM_001308054 114
37 chr14 24563777 24563891 1 chr14 24563845 24563909 8 46 chr14 24563845 24563909 1 46 chr14 24563339 24573341 PCK2 NM_001291556 114
38 chr11 69517273 69517372 1 chr11 69517273 69517372 11 99 chr11 69517273 69517372 2 99 chr11 69513005 69519106 FGF19 NM_005117 99
39 chr19 17346727 17346825 8 chr19 17346781 17346857 17 44 chr19 17346727 17346825 1 98 chr19 17342693 17356151 NR2F6 NM_005234 98
40 chr5 133859933 133860087 22 chr5 133859816 133859967 2 34 chr5 133859933 133860087 1 154 chr5 133860065 133918920 JADE2 NM_001308143 22
41 chr9 707234 707312 30 chr9 707306 707392 11 6 chr9 707011 707254 4 20 chr9 706805 746106 KANK1 NM_153186 78
42 chr9 707234 707312 30 chr9 707306 707392 11 6 chr9 707011 707254 4 20 chr9 470293 746106 KANK1 NM_001256876 78
43 chr9 707234 707312 30 chr9 707306 707392 11 6 chr9 707011 707254 4 20 chr9 504694 746106 KANK1 NM_001256877 78
44 chr9 707234 707312 30 chr9 707306 707392 11 6 chr9 707011 707254 4 20 chr9 504694 746106 KANK1 NM_015158 78
