	6-P-10.mld_blocks_r2-0.5	6-P-1.mld_blocks_r2-0.5	6-P-2.mld_blocks_r2-0.5	6-P-3.mld_blocks_r2-0.5	6-P-4.mld_blocks_r2-0.5	6-P-5.mld_blocks_r2-0.5	6-P-6.mld_blocks_r2-0.5	6-P-7.mld_blocks_r2-0.5	6-P-8.mld_blocks_r2-0.5	6-P-9.mld_blocks_r2-0.5	6-T-1_1.mld_blocks_r2-0.5	6-T-1_2.mld_blocks_r2-0.5	6-T-2_1.mld_blocks_r2-0.5	6-T-2_2.mld_blocks_r2-0.5	6-T-3_1.mld_blocks_r2-0.5	6-T-3_2.mld_blocks_r2-0.5	6-T-4_1.mld_blocks_r2-0.5	6-T-4_2.mld_blocks_r2-0.5	6-T-5_1.mld_blocks_r2-0.5	6-T-5_2.mld_blocks_r2-0.5	7-P-10.mld_blocks_r2-0.5	7-P-1.mld_blocks_r2-0.5	7-P-2.mld_blocks_r2-0.5	7-P-3.mld_blocks_r2-0.5	7-P-4.mld_blocks_r2-0.5	7-P-5.mld_blocks_r2-0.5	7-P-6.mld_blocks_r2-0.5	7-P-7.mld_blocks_r2-0.5	7-P-8.mld_blocks_r2-0.5	7-P-9.mld_blocks_r2-0.5	7-T-1_1.mld_blocks_r2-0.5	7-T-1_2.mld_blocks_r2-0.5	7-T-2_1.mld_blocks_r2-0.5	7-T-2_2.mld_blocks_r2-0.5	7-T-3_1.mld_blocks_r2-0.5	7-T-3_2.mld_blocks_r2-0.5	7-T-4_1.mld_blocks_r2-0.5	7-T-4_2.mld_blocks_r2-0.5	7-T-5_1.mld_blocks_r2-0.5	7-T-5_2.mld_blocks_r2-0.5	CTT-FFPE-100ng_1.mld_blocks_r2-0.5	CTT-FFPE-100ng_2.mld_blocks_r2-0.5	CTT-FFPE-5ng_1.mld_blocks_r2-0.5	CTT-FFPE-5ng_2.mld_blocks_r2-0.5	CTT-frozen-100ng_1.mld_blocks_r2-0.5	CTT-frozen-100ng_2.mld_blocks_r2-0.5	CTT-frozen-5ng_1.mld_blocks_r2-0.5	CTT-frozen-5ng_2.mld_blocks_r2-0.5	NC-P-1.mld_blocks_r2-0.5	NC-P-2.mld_blocks_r2-0.5	NC-P-3.mld_blocks_r2-0.5	NC-P-5.mld_blocks_r2-0.5	NC-P-6.mld_blocks_r2-0.5	NC-P-7.mld_blocks_r2-0.5	NC-P-8.mld_blocks_r2-0.5	NC-P-9.mld_blocks_r2-0.5	PC-P-10.mld_blocks_r2-0.5	PC-P-1.mld_blocks_r2-0.5	PC-P-2.mld_blocks_r2-0.5	PC-P-3.mld_blocks_r2-0.5	PC-P-4.mld_blocks_r2-0.5	PC-P-5.mld_blocks_r2-0.5	PC-P-6.mld_blocks_r2-0.5	PC-P-7.mld_blocks_r2-0.5	PC-P-8.mld_blocks_r2-0.5	PC-P-9.mld_blocks_r2-0.5	PC-T-1_1.mld_blocks_r2-0.5	PC-T-1_2.mld_blocks_r2-0.5	PC-T-2_1.mld_blocks_r2-0.5	PC-T-2_2.mld_blocks_r2-0.5	PC-T-4_1.mld_blocks_r2-0.5	PC-T-4_2.mld_blocks_r2-0.5	PC-T-6_1.mld_blocks_r2-0.5	PC-T-6_2.mld_blocks_r2-0.5	PC-T-7_1.mld_blocks_r2-0.5	PC-T-7_2.mld_blocks_r2-0.5
chr16:584193-584214	0.923099100273519	0.909090909090909	0.988461538461539	0.9975	0.888888888888889	0.952380952380952	0.995	0.857037709215568	0.997727272727273	0.996428571428571	0.47923670313536	0.298938811326976	0.374135022025048	0.595612560813799	0.757142857142857	0.646524064171123	0.439983036765215	0.457438911135279	0.992	0.993965517241379	1	0.988571428571429	1	0.646209533220403	0.994666666666667	0.996428571428572	0.702666666666667	0.995384615384615	1	0.89875	0.993055555555556	0.989421052631579	0.988492063492063	0.998058252427185	0.998529411764706	0.995689655172414	0.932916666666667	0.96156462585034	0.99375	0.991071428571428	0.252727498140342	0.299521498897954	0.088419032492886	0.00182926829268293	0.359148808181066	0.437638798348544	0.381730769230769	0.392446934785644	0.985	1	0.8960363513555	0.9875	0.888888888888889	1	0.98	0.9975	0.806187363834423	0.996428571428572	0.520400432900433	1	0.682216117216117	0.705113636363636	0.861145186335404	0.666666666666667	1	1	0.611904761904762	0.757171175605133	0.569989953592077	0.414127363378078	0.745669591628568	0.926053222094361	0.502606879517635	0.602238318352776	0.691154064004531	0.67625786163522
chr19:1168963-1169011	1	1	1	0.997142857142857	1	1	0.4	1	0.5	0.916666666666667	0.7642738336714	0.757947748064743	0.1	0.269216066191873	0.81033162149667	0.872666666666667	0.559825505544684	0.666666666666667	0.638078211833933	0.669565217391304	1	1	0.9875	1	1	0.991666666666667	0.742424242424243	0.992592592592593	1	0.9875	0.409684195007901	0.309942075887623	0.929118550646065	0.743664424134721	0.616195510282921	0.68421052631579	0.692111526184713	0.934555959320665	0.601013063940279	0.524197038255862	0.38962304720138	0.172385620915033	0	0.261555555555556	0.2408981657179	0.361448149236193	0.4	0.261555555555556	0.992105263157895	0.998214285714286	0.936323529411765	0.982857142857143	0.945375457875458	0.978260869565217	1	0.989285714285714	0.666666666666667	1	0.962181540808543	0	0.5	0.166666666666667	0	1	1	0.916666666666667	0.254206573768748	0.375849357150984	0.552320032090934	0.545784865540963	0.604718889863202	0.536065234926397	0.437737986472964	0.434802127455925	0.585625720267653	0.438784554629223
chr20:19956205-19956225	1	0.99375	1	0.983333333333333	0.991666666666667	1	0.99375	1	1	1	0.25	0.266538461538462	0	0	0	0	0	0.125	0	0.958333333333333	1	1	1	1	0.995	1	0.997222222222222	0.996428571428572	0.99375	1	0.5	0	0	0	0.522619047619048	1	0	0.5	0	1	0.975	1	1	0.997916666666667	1	0	0.991666666666667	0.994444444444444	1	1	1	1	0.9875	1	1	1	1	1	0.958333333333333	1	0.9875	1	1	1	1	0.995	0	0	0	0.916666666666667	0	0	0	0	0	1
chr8:99986577-99986632	0.0275837742504409	0	0.00668759512937595	0.00185185185185185	0	0.00210526315789474	0.0103174603174603	0.0037037037037037	0	0.0166666666666667	0.302098850550932	0.425868989944225	0.00137757667169432	0	0.13007672121809	0.183955849193896	0.475041946627622	0.73446675492792	0.0641964658493237	0.110899034210978	0	0	0.0019047619047619	0	0.019417004048583	0	0	0.00123456790123457	0	0.00550964187327824	0.00122549019607843	0.00232974910394265	0.758710619600672	0.414023468381422	0.557476797988299	0.550267341876401	0.396695932539682	0.401010247286413	0.0150811248372224	0.0171982715304994	0.965548153082458	0.863720799707116	0.40530303030303	0.176430976430976	0.759586948897583	0.619442914326815	0.50976430976431	0.450545357283631	0.00229885057471264	0.000854700854700855	0.00158730158730159	0.007579554947976	0.000584795321637427	0.00289855072463768	0.0016260162601626	0.00628019323671498	0.00555555555555555	0.00416666666666667	0.00277777777777778	0.00123456790123457	0.00138888888888889	0.00196078431372549	0	0.00065359477124183	0.00303030303030303	0.00555555555555555	0.0310898428666731	0.107289228081334	0.562387094041277	0.669102486916669	0.180965860692214	0.290637503499172	0.0527587433711723	0.0266103549252739	0.243638628739483	0.284751857075962
chr19:3179984-3180056	0	0.125	0.333333333333333	0	0.4	0.00833333333333333	0.0123579545454545	0	0	0.027437641723356	0.744682700666474	0.655338119693952	0.775286101062499	0.592001570583888	0.0952380952380952	0.202983524162769	0.815529175765578	0.649296536796537	0.215187522377372	0.199063556457066	0.0166666666666667	0.00208333333333333	0	0	0.00625	0.00833333333333333	0.00833333333333333	0.833333333333333	0	0.005	0.744170437405731	0.638776737967914	0.604467846460618	0.639244355507224	0.323265535394704	0.333333333333333	0.474835090383871	0.271789577660226	0.369937944114393	0.417471992390793	0.239425696568554	0.29407482305359	0.616666666666667	0.5	0.19290350877193	0.409793835426747	0.327272727272727	0.381482108972621	0	0.00394736842105263	0.00108695652173913	0	0.0178235294117647	0.00138888888888889	0.00769230769230769	0	0.00625	0.916666666666667	0.111111111111111	0.015	0	0.0625	0.0306818181818182	0.065	0	0.297333333333333	0.779129928042972	0.6875	0.802197134880062	0.66581459238436	0.566373999514916	0.592700275728445	0.586993296415039	0.66298227821074	0.802323232323232	0.795485413677666
chr13:50266293-50266339	0.996666666666667	0.990476190476191	1	1	0.993333333333333	0.991111111111111	0	0.987272727272727	1	0	0.260266681555839	0.2865579276169	0.995	0.965624668510767	0.415630304822851	0.520041626225412	0.212129532380092	0.5	0.958434975925542	0.998550724637681	1	0.995555555555556	1	1	1	1	1	1	1	0	0.996135265700483	0.997777777777778	0.832466636193344	0.898566817390347	0.997050147492625	0.998	0.762609311740891	0.666666666666667	0.9984	0.997222222222222	0.113723176198675	0.343675638371291	0	0	0.209691802805927	0.573360443970033	0.933333333333333	0.279862914862915	0.993937314115763	1	0.994074074074074	0.997575757575758	0.966666666666667	0.966666666666667	0.99843137254902	0.997777777777778	1	1	0.996666666666667	1	1	0.995555555555556	1	0.974545454545455	0.986666666666667	0	0.909253499402753	0.919449192782526	0.506903856159175	0.572639452423853	0.738367323854446	0.784669730103571	0.786100101012314	0.679041324373536	0.752226587604739	0.563789334813183
chr21:44819266-44819326	0	0	0	0	0	0	0	0.074556145973608	0.163244916003537	0	0.671166056166056	0.549327406067912	0.478269878269878	0.40610820855204	0.211798539920276	0.236774592602267	0.849074834479246	0.682539682539682	0.107619843938757	0.170665827999161	0.0549099147696623	0	0	0	0	1	0.00229885057471264	0.333333333333333	0.0736027615383539	0.25	0.544240474924685	0.683735533512719	0.585804089063913	0.423572963778941	0.595040926194435	0.59517312712467	0.513851803969451	0.228549669497919	0.433650193776052	0.527606660328983	0.551447089677773	0.542526994078718	0.966666666666667	0.392254806125774	0.735211980622639	0.782621383927126	0.875	0.745744043448962	0	0	0.000930232558139535	0	0.227272727272727	0	0	0	0	0	0.00874779541446208	0.0284017736649316	0	0	0	0.040791815204475	0.0444444444444444	0	0.529703417150226	0.551224877744402	0.555725586836049	0.659824568790086	0.243825215211943	0.420946811473127	0.496345077909326	0.80324931175995	0.781058201058201	0.600420008573165
chr20:39312289-39312322	0.00689655172413793	0	0.0037037037037037	0	0	1	0	0	0	0	0.444006435155342	0.609279560308972	1	0.783896443618006	0.181888692701002	0.186456511456511	0.608272570098823	0.390529100529101	0.00806484295845998	0.0402399343575814	0	0	0.140044555834029	0	0.0174757236423136	0	0	0	0	0	0.385369411038649	0.0800378055280016	0.0352526488758481	0.000938967136150235	0.278273815787376	0.45650522317189	0.370430328479109	0.566397646771697	0.0746326683826684	0.180262503387468	0.92037037037037	0.777894819527905	0	0.0282430213464696	0.451289539484317	0.189949644225506	0.0833333333333333	0.621031746031746	0	0	0	0	0	0	0	0	0	0	0	0	0.0388950823733432	0	0.00185185185185185	0	0.176430976430976	0	0.503739728324669	1	0.638485376732557	0.857238751356398	0.81139546727782	0.5	0.349893861154907	0.675401086043526	0.797684398043833	0.519946250770993
chr2:111876439-111876447	0	0.00178571428571429	0	0	0.00227272727272727	0	0	0	0.207063205065055	0.00357142857142857	0.240019249300663	0.201422466422466	0.00119047619047619	0.0015625	0.0394699203661468	0.1154870555618	0.434120939120939	0.51486013986014	0.0528991333869383	0.114686822563535	0	0	0	0	0	0.916666666666667	0	0	0	0	0.139196768884269	0.181941176470588	0.781666512239641	0.651636295221201	0.199098814229249	0.177533908300162	0.402027534418023	0.656133027425488	0.092144254455876	0.16	0.00303030303030303	0	0	0	0.0025	0.0380798624045446	0	0	0.00172413793103448	0.00147058823529412	0.000840336134453781	0	0.0197912885662432	0.00454545454545455	0	0	0.00208333333333333	0	0.0212406015037594	0	0	0	0.00833333333333333	0	0.0125	0	0.313180628827298	0.262900282064045	0.473472212791257	0.597590962879734	0.605570212314398	0.464080796289574	0.5529282038716	0.588853225820156	0.388152709359606	0.404602445637138
chr1:53308759-53308850	0.00666666666666667	0.00931263858093126	0.00170940170940171	0	0.0482268856584134	0.00317460317460317	0	0	0	0.0630246913580247	0.771090105888815	0.589607589465602	0	0.00220928905625927	0.131214089931996	0.630633582263487	0.678784547376514	0.523326105117867	0.195870080473661	0.000865800865800866	0.0101614434947768	0	0	0.0375548679213203	0.0447579031612645	0.00606060606060606	0.0757142857142857	0.00148148148148148	0	0	0.00811059907834101	0.0116825396825397	0.713196424834843	0.59554677660664	0.814013532763533	0.152347608622333	0.0557849268884923	0	0.0611037493593275	0.0158329107198918	0.997959183673469	0.741635649756505	0.990476190476191	0.00476190476190476	0.775172236602043	0.601404834310171	0.160245079997402	0.467155449999795	0	0.00256410256410256	0.0108186341022162	0	0	0.00398009950248756	0.0048780487804878	0	0	0	0.00133333333333333	0	0	0.00498129967274427	0.0848484848484849	0.0116437272583452	0	0.00858400586940572	0.158806403134828	0.273541125541126	0.192544371892197	0.536678103486769	0.332530554422738	0.341666171643931	0.234011826534666	0.3028739603709	0.384874261540928	0.205685715934313
