	Bin	P	Delta	test	cancer	normal
1	chr10:100205942-100206183	0.595498138593092	0.0403891304347826	wilcox	0.482339130434783	0.44195
2	chr10:100993730-100994001	0.610898262728644	0.135089740082079	wilcox	0.637172093023256	0.502082352941176
3	chr10:100996131-100996174	0.35210810517183	-0.131695194508009	wilcox	0.401752631578947	0.533447826086957
4	chr10:101089382-101089519	0.0224732345079665	0.247688095238095	wilcox	0.639402380952381	0.391714285714286
5	chr10:101090016-101090139	0.10657638011024	0.103107142857143	wilcox	0.492440476190476	0.389333333333333
6	chr10:101190384-101190646	0.369862337801879	0.0883357142857142	wilcox	0.53375	0.445414285714286
7	chr10:101190908-101191179	0.00520218123491406	0.120369098277609	wilcox	0.318959574468085	0.198590476190476
8	chr10:101279900-101280134	0.328995652680858	0.0523810606060606	wilcox	0.462447727272727	0.410066666666667
9	chr10:101283288-101283643	0.95115633901491	0.154853181818182	wilcox	0.749093181818182	0.59424
10	chr10:101290203-101290336	0.0339310964354502	0.288014160839161	wilcox	0.786429545454545	0.498415384615385
11	chr10:101300641-101300857	0.174139172291119	0.205581707317073	wilcox	0.715131707317073	0.50955
12	chr10:101418632-101419154	0.367295302939062	0.101431121281464	wilcox	0.560752173913043	0.459321052631579
13	chr10:101419160-101419755	0.00140914829857172	0.290649166666667	wilcox	0.63772	0.347070833333333
14	chr10:101491597-101491949	0.251936890622684	0.103318445121951	wilcox	0.520512195121951	0.41719375
15	chr10:101492220-101492641	0.805193189429921	0.00947021276595744	wilcox	0.403570212765957	0.3941
16	chr10:101768956-101769328	0.197892266484957	0.0375304761904762	wilcox	0.326390476190476	0.28886
17	chr10:101770129-101770338	0.0347421575489878	0.184659047619048	wilcox	0.510019047619048	0.32536
18	chr10:101945053-101945316	6.53184286016086e-05	0.236112202380952	wilcox	0.345880952380952	0.10976875
19	chr10:101945789-101946458	0.117205835414272	0.125280163043478	wilcox	0.52940625	0.404126086956522
20	chr10:102027241-102027661	0.0277855625754811	0.175613675213675	wilcox	0.393344444444444	0.217730769230769
21	chr10:102107202-102107545	0.00679341159827368	0.20527414500684	wilcox	0.478897674418605	0.273623529411765
22	chr10:102133431-102133644	0.0500375217550435	-0.180013122923588	wilcox	0.554951162790698	0.734964285714286
23	chr10:102133685-102133987	0.662245387451391	0.0229122727272728	wilcox	0.800902272727273	0.77799
24	chr10:102241953-102242274	0.0212306739601355	0.175451684397163	wilcox	0.54398085106383	0.368529166666667
25	chr10:102242298-102242547	0.019261037198217	0.300239147286822	wilcox	0.705955813953488	0.405716666666667
26	chr10:102295462-102295858	0.0034216703011528	0.326040909090909	wilcox	0.691690909090909	0.36565
27	chr10:102414360-102414518	0.188633545565673	0.165295274390244	wilcox	0.592739024390244	0.42744375
28	chr10:102419554-102419666	0.0072958954431582	0.272701752190238	wilcox	0.598972340425532	0.326270588235294
29	chr10:102430579-102430832	0.0364164278806835	0.187888888888889	wilcox	0.5762	0.388311111111111
30	chr10:102475276-102475462	0.0761231441364571	0.274782142857143	wilcox	0.911857142857143	0.637075
31	chr10:102490640-102490881	0.00488445135549057	0.265046666666667	wilcox	0.569366666666667	0.30432
32	chr10:102503470-102503854	0.293471584555425	0.158535145784082	wilcox	0.731642553191489	0.573107407407407
33	chr10:102590201-102590328	0.588822553565236	-0.00462380952380959	wilcox	0.584892857142857	0.589516666666667
34	chr10:102672052-102672387	0.0298814202776427	0.179313755980861	wilcox	0.581829545454545	0.402515789473684
35	chr10:102673035-102673342	0.76506549232588	0.0406777777777778	wilcox	0.5199	0.479222222222222
36	chr10:102746559-102746870	0.28848152517763	0.143780363636364	wilcox	0.687936363636364	0.544156
37	chr10:102746963-102747430	0.0609759526946503	0.19599104859335	wilcox	0.580108695652174	0.384117647058824
38	chr10:102747463-102747912	0.158684281363482	0.254429752953813	wilcox	0.893524489795918	0.639094736842105
39	chr10:102757519-102757849	0.920389956597633	-0.0366944805194805	wilcox	0.413084090909091	0.449778571428571
40	chr10:102791132-102791515	0.686741174929483	0.0750288888888889	wilcox	0.650828888888889	0.5758
41	chr10:102792150-102792471	0.168246904292678	0.166981063122924	wilcox	0.750595348837209	0.583614285714286
42	chr10:102820651-102821034	0.020835754773423	0.265659965034965	wilcox	0.643752272727273	0.378092307692308
43	chr10:102822248-102822507	0.0727105600142829	0.0474682926829268	wilcox	0.406568292682927	0.3591
44	chr10:102880941-102881102	0.656048567971136	0.115701111111111	wilcox	0.897311111111111	0.78161
45	chr10:102881113-102881240	0.828308673280827	0.106794871794872	wilcox	0.750194871794872	0.6434
46	chr10:102881245-102881484	0.724262634582766	0.0670623611111111	wilcox	0.655931111111111	0.58886875
47	chr10:102894116-102894299	0.0276668341417735	0.202641299019608	wilcox	0.459335416666667	0.256694117647059
48	chr10:102975982-102976214	0.187798492596408	0.181739592969473	wilcox	0.696878723404255	0.515139130434783
49	chr10:102986729-102986972	0.103403647830056	0.364280303030303	wilcox	0.933813636363636	0.569533333333333
50	chr10:102996034-102996048	0.0550888172157285	0.205028787878788	wilcox	0.564983333333333	0.359954545454545
51	chr10:103113359-103113775	0.953286935329324	-0.0678418767507003	wilcox	0.389440476190476	0.457282352941176
52	chr10:103113834-103114495	0.976576556920953	0.129207859531772	wilcox	0.759034782608696	0.629826923076923
53	chr10:103326335-103326517	0.0732211045251912	0.270085548172757	wilcox	0.685606976744186	0.415521428571429
54	chr10:103330208-103330654	0.0626990140177516	0.198215555555556	wilcox	0.606995555555556	0.40878
55	chr10:103347357-103347854	0.00756423716983167	0.29628364389234	wilcox	0.697321739130435	0.401038095238095
56	chr10:103347978-103348376	0.195736968754087	0.163663333333333	wilcox	0.668446666666667	0.504783333333333
57	chr10:103576717-103577075	0.874053199760771	0.023726	wilcox	0.483826	0.4601
58	chr10:103577140-103577448	0.440063524365157	0.0430076241134751	wilcox	0.414365957446808	0.371358333333333
59	chr10:103815196-103815643	0.00156915792880825	0.382748369565217	wilcox	0.705160869565217	0.3224125
60	chr10:103824818-103825803	1.83936106890645e-05	0.313052173913044	wilcox	0.533030434782609	0.219978260869565
61	chr10:103892182-103893183	0.0405183937396642	0.220138775510204	wilcox	0.706538775510204	0.4864
62	chr10:103893455-103894039	0.193488116381536	0.131025913043478	wilcox	0.596752	0.465726086956522
63	chr10:103912295-103912739	0.0592736217593535	0.147146934460888	wilcox	0.57536511627907	0.428218181818182
64	chr10:103985815-103986150	0.0330193385965313	0.192690476190476	wilcox	0.614990476190476	0.4223
65	chr10:104004786-104005098	0.995275078218795	0.0242412765957446	wilcox	0.552921276595745	0.52868
66	chr10:104005139-104005358	0.645798071837605	0.0299502380952381	wilcox	0.523495238095238	0.493545
67	chr10:104005564-104005832	0.584372441913825	0.0619378048780488	wilcox	0.762187804878049	0.70025
68	chr10:104159236-104159562	0.613288606586073	0.0552470985155195	wilcox	0.543910256410256	0.488663157894737
69	chr10:104178970-104179338	0.676332379562293	0.0782091666666667	wilcox	0.661754166666667	0.583545
70	chr10:104179862-104180152	0.00959301916451625	0.243075802139037	wilcox	0.580252272727273	0.337176470588235
71	chr10:104180478-104181033	0.534562016861182	-0.0209626984126984	wilcox	0.503959523809524	0.524922222222222
72	chr10:104181159-104181825	0.771557599871253	0.0845929451287795	wilcox	0.648129787234043	0.563536842105263
73	chr10:104182413-104182763	0.365643697547336	0.103956818181818	wilcox	0.586106818181818	0.48215
74	chr10:104192031-104192195	0.129844234332204	0.16838625	wilcox	0.6326425	0.46425625
75	chr10:104210240-104210504	0.173077678374007	0.10633	wilcox	0.48255	0.37622
76	chr10:104210717-104210910	0.745631307822916	0.03812	wilcox	0.65078	0.61266
77	chr10:104221078-104221285	0.367838358055656	0.0927657142857143	wilcox	0.56148	0.468714285714286
78	chr10:104221396-104221678	0.780092025822402	0.0924659090909091	wilcox	0.749206818181818	0.656740909090909
79	chr10:104404633-104404966	0.0693189307751247	0.125700174825175	wilcox	0.404438636363636	0.278738461538462
80	chr10:104474403-104474672	0.00472974281834876	0.289636507936508	wilcox	0.567122222222222	0.277485714285714
81	chr10:104503895-104504365	0.0445385446695549	0.232390584415584	wilcox	0.889747727272727	0.657357142857143
82	chr10:104613963-104614498	0.263545752957324	0.15227875	wilcox	0.72304375	0.570765
83	chr10:104629038-104629261	0.433687882590999	0.209752272727273	wilcox	0.827702272727273	0.61795
84	chr10:104678216-104678609	0.422365525841087	0.084609347826087	wilcox	0.564204347826087	0.479595
85	chr10:104679087-104679139	0.209031337704534	0.219775730994152	wilcox	0.721086842105263	0.501311111111111
86	chr10:105110210-105110471	0.46847496665668	0.0462852380952381	wilcox	0.465745238095238	0.41946
87	chr10:105110771-105111090	0.484468535134619	0.0448287878787879	wilcox	0.472170454545455	0.427341666666667
88	chr10:105155820-105156093	0.791264982371808	-0.0625368421052632	wilcox	0.4881	0.550636842105263
89	chr10:105211950-105212345	0.119539107589607	0.169549607535322	wilcox	0.584226530612245	0.414676923076923
90	chr10:105254325-105254523	0.872973991070662	0.120035217391304	wilcox	0.768215217391304	0.64818
91	chr10:105452852-105452901	0.993041089018372	0.154134615384615	wilcox	0.830117948717949	0.675983333333333
92	chr10:105531945-105532532	0.638980583726051	0.10456524822695	wilcox	0.773131914893617	0.668566666666667
93	chr10:105614254-105614698	0.0157127724158818	0.226805151175812	wilcox	0.738789361702128	0.511984210526316
94	chr10:105677332-105677800	0.0604807806266714	0.144587188208617	wilcox	0.492881632653061	0.348294444444444
95	chr10:105726516-105727190	0.025808114779824	0.274044444444444	wilcox	0.639433333333333	0.365388888888889
96	chr10:105727247-105727714	0.767096208168504	0.0804558027079304	wilcox	0.646814893617021	0.566359090909091
97	chr10:105880989-105881460	0.706105890504961	-0.000482549019607814	wilcox	0.454827450980392	0.45531
98	chr10:105881486-105882078	0.000592649759866884	0.305915942028986	wilcox	0.550782608695652	0.244866666666667
99	chr10:105991438-105991779	0.0523555074699363	0.2490486521181	wilcox	0.972517073170732	0.723468421052632
100	chr10:106014245-106014614	0.0282052610301801	0.269317929292929	wilcox	0.662856818181818	0.393538888888889
101	chr10:106028372-106028599	0.108998669160228	0.10777761627907	wilcox	0.46056511627907	0.3527875
102	chr10:106034471-106034686	0.00615075112535578	0.297996388888889	wilcox	0.6094575	0.311461111111111
103	chr10:106034728-106034770	0.165212757220183	0.223921764705882	wilcox	0.87971	0.655788235294118
104	chr10:106051174-106051414	0.0485826798865628	0.102916581632653	wilcox	0.369804081632653	0.2668875
105	chr10:106399677-106399832	0.145970928988985	0.115123913043478	wilcox	0.461523913043478	0.3464
106	chr10:1094177-1094534	0.444080000311268	0.0322051948051948	wilcox	0.431364285714286	0.399159090909091
107	chr10:1095049-1095369	0.710602574127415	-0.0213182539682539	wilcox	0.486892857142857	0.508211111111111
108	chr10:1095421-1095754	0.369534917562619	0.120133333333333	wilcox	0.600566666666667	0.480433333333333
109	chr10:109674927-109675142	0.865768947103154	-0.0137103260869564	wilcox	0.536702173913044	0.5504125
110	chr10:11059494-11059614	0.709854031215002	-0.0445642857142858	wilcox	0.46422619047619	0.508790476190476
111	chr10:111216673-111216768	0.0698599075426274	0.215564761904762	wilcox	0.766304761904762	0.55074
112	chr10:111682955-111683201	0.931034081393992	-0.0192532150776054	wilcox	0.423219512195122	0.442472727272727
113	chr10:111930071-111930245	0.0276147252119366	-0.24542	wilcox	0.4572	0.70262
114	chr10:111981620-111981796	0.230605324358487	-0.0695211956521739	wilcox	0.526191304347826	0.5957125
115	chr10:112064569-112064987	0.123057363012646	0.242979444444444	wilcox	0.766871111111111	0.523891666666667
116	chr10:112065312-112065435	0.0286493674527556	0.224471544715447	wilcox	0.892604878048781	0.668133333333333
117	chr10:11217910-11218016	0.315469990178215	0.18193375	wilcox	0.79279	0.61085625
118	chr10:112326858-112327667	0.00162070387220721	0.215016697588126	wilcox	0.41775306122449	0.202736363636364
119	chr10:112327812-112328512	0.0598655438160882	0.106894466403162	wilcox	0.429972727272727	0.323078260869565
120	chr10:112403166-112403312	0.0199201334662895	0.263726666666667	wilcox	0.591282222222222	0.327555555555556
121	chr10:112403349-112403544	0.891282987394187	0.125162222222222	wilcox	0.700755555555556	0.575593333333333
122	chr10:112403594-112403891	0.506344624222426	0.0468297674418604	wilcox	0.55676976744186	0.50994
123	chr10:112431933-112432144	0.00454392519832998	0.202490952380952	wilcox	0.481230952380952	0.27874
124	chr10:112432195-112432356	0.140464766664878	0.145990365448505	wilcox	0.506304651162791	0.360314285714286
125	chr10:112678124-112678687	0.810059387274708	-0.018290404040404	wilcox	0.479377777777778	0.497668181818182
126	chr10:112679379-112679872	0.00355767040333215	0.388774223602484	wilcox	0.677045652173913	0.288271428571429
127	chr10:113943047-113943313	0.531807087015048	0.0484661904761904	wilcox	0.530359523809524	0.481893333333333
128	chr10:113943776-113944050	0.0185515522478591	-0.177072248062015	wilcox	0.637074418604651	0.814146666666667
129	chr10:114135846-114136010	0.48658287002287	0.0786512158054712	wilcox	0.729729787234043	0.651078571428571
130	chr10:114206043-114206306	0.00611192202450327	0.353209090909091	wilcox	0.814459090909091	0.46125
131	chr10:114207423-114207601	0.751372694485784	0.141246868686869	wilcox	0.935037777777778	0.793790909090909
132	chr10:114710400-114710719	0.0117353731442796	0.293539772727273	wilcox	0.772702272727273	0.4791625
133	chr10:114712020-114712416	0.0258045552642057	0.141726666666667	wilcox	0.41706	0.275333333333333
134	chr10:114886491-114886607	0.15561020154579	0.129845238095238	wilcox	0.530823809523809	0.400978571428571
135	chr10:115438844-115439305	0.136736828007697	0.193425177304965	wilcox	0.658908510638298	0.465483333333333
136	chr10:115440024-115440506	0.0435223386119295	0.266717512274959	wilcox	0.645402127659574	0.378684615384615
137	chr10:115613564-115613801	0.259528580890487	0.0379648493543759	wilcox	0.415770731707317	0.377805882352941
138	chr10:115613883-115614795	0.409898523139453	0.0764523210831722	wilcox	0.522765957446809	0.446313636363636
139	chr10:115614865-115615118	0.0920870777897755	0.101904016913319	wilcox	0.487776744186046	0.385872727272727
140	chr10:115804066-115804257	0.594985203185247	-0.0400732558139534	wilcox	0.467376744186047	0.50745
141	chr10:115860568-115860986	0.0156273922051212	0.321545807259074	wilcox	0.763834042553192	0.442288235294118
142	chr10:115933228-115934034	0.264595731388923	0.123975111111111	wilcox	0.558491111111111	0.434516
143	chr10:115934375-115934593	0.0208615124557224	0.202580775193798	wilcox	0.566667441860465	0.364086666666667
144	chr10:115998880-115999207	0.515411289559592	0.100567391304348	wilcox	0.543767391304348	0.4432
145	chr10:116163263-116163470	0.308836355010233	0.135877705627706	wilcox	0.591868181818182	0.455990476190476
146	chr10:11652668-11653114	0.291826513210642	0.0411187643020595	wilcox	0.377160869565217	0.336042105263158
147	chr10:116697893-116698723	0.491431345965034	0.0869842514124294	wilcox	0.499005084745763	0.412020833333333
148	chr10:116852140-116852686	0.0002503123782839	0.360293333333333	wilcox	0.55781	0.197516666666667
149	chr10:11727362-11727515	0.00711676899033673	0.253326060606061	wilcox	0.648453333333333	0.395127272727273
150	chr10:118033698-118033994	0.0427378580253244	0.210023395721925	wilcox	0.601670454545455	0.391647058823529
151	chr10:118387174-118387340	0.181835866109892	0.126355808080808	wilcox	0.601961363636364	0.475605555555556
152	chr10:118547560-118547917	0.221902372892838	0.106670663265306	wilcox	0.521708163265306	0.4150375
153	chr10:118608817-118609296	0.68096086052208	0.0867889016018307	wilcox	0.594815217391304	0.508026315789474
154	chr10:118764965-118765291	0.00839589484277699	0.179100297619048	wilcox	0.398119047619048	0.21901875
155	chr10:118927423-118927721	0.0885867434400742	0.195363333333333	wilcox	0.63323	0.437866666666667
156	chr10:118934346-118935266	0.137743060346759	-0.0561875283446712	wilcox	0.503634693877551	0.559822222222222
157	chr10:118977067-118977233	0.129055525519521	0.195223205741627	wilcox	0.839986363636364	0.644763157894737
