	Bin	P	Delta	test	cancer	normal
1	chr10:100992653-100992685	0.00701102286684914	0.213471670190275	wilcox	0.226653488372093	0.0131818181818182
2	chr10:101089121-101089172	0.128471442596855	0.0417760975609756	wilcox	0.0434560975609756	0.00168
3	chr10:101089382-101089519	0.78947661409469	0.0355355555555556	wilcox	0.0434911111111111	0.00795555555555556
4	chr10:101089746-101089886	0.0577133160960099	0.02408	wilcox	0.02588	0.0018
5	chr10:101089906-101089971	0.39519164248713	0.0260636363636364	wilcox	0.0289886363636364	0.002925
6	chr10:101281243-101281291	1.76387037137307e-05	-0.271628991596639	wilcox	0.672435294117647	0.944064285714286
7	chr10:101281365-101281412	1.34234715941243e-07	-0.249165756302521	wilcox	0.697748529411765	0.946914285714286
8	chr10:101281450-101281471	0.150093688405391	-0.132778787878788	wilcox	0.712575757575758	0.845354545454545
9	chr10:101281649-101281747	3.10402911371537e-05	-0.297267938087341	wilcox	0.651528358208955	0.948796296296296
10	chr10:101281858-101281896	0.000131366625211377	-0.209150217864924	wilcox	0.722479411764706	0.93162962962963
11	chr10:101282001-101282075	3.07808055573892e-06	-0.285445334685598	wilcox	0.621402941176471	0.906848275862069
12	chr10:101419160-101419755	0.241837158691768	0.000489358974358974	wilcox	0.00307435897435897	0.002585
13	chr10:101946816-101946837	0.244784696662777	0.0826332903225807	wilcox	0.532161290322581	0.449528
14	chr10:102242298-102242547	0.523904263287426	-0.00290118152524168	wilcox	0.00180408163265306	0.00470526315789474
15	chr10:102419290-102419302	4.89460687346104e-05	0.349209090909091	wilcox	0.363009090909091	0.0138
16	chr10:102419312-102419344	4.12872426851514e-05	0.315942553191489	wilcox	0.324642553191489	0.0087
17	chr10:102475276-102475462	0.518573328747191	0.0514724358974359	wilcox	0.0649416666666667	0.0134692307692308
18	chr10:102495199-102495217	0.222288205335685	0.0717140136054422	wilcox	0.0791673469387755	0.00745333333333333
19	chr10:102495302-102495333	0.511231191584879	0.0157892857142857	wilcox	0.019225	0.00343571428571429
20	chr10:102507751-102507761	0.0766865191969659	0.173460869565217	wilcox	0.177460869565217	0.004
21	chr10:102746559-102746870	5.8116828668452e-05	-0.00960959459459459	wilcox	0.00140540540540541	0.011015
22	chr10:102822248-102822507	0.00443116421204725	-0.000194579945799458	wilcox	0.0019609756097561	0.00215555555555556
23	chr10:102822517-102822645	0.961717730538437	0.00532392344497608	wilcox	0.0065421052631579	0.00121818181818182
24	chr10:102894045-102894090	0.0350349761928559	0.280252913752914	wilcox	0.298425641025641	0.0181727272727273
25	chr10:102900102-102900140	0.00853145693488371	0.178330144927536	wilcox	0.18174347826087	0.00341333333333333
26	chr10:102900159-102900187	0.00207621345822963	0.192484929078014	wilcox	0.204676595744681	0.0121916666666667
27	chr10:102988606-102988664	0.61183618898369	0.0277772727272727	wilcox	0.0375772727272727	0.0098
28	chr10:102989448-102989550	0.019784798213172	0.143751748251748	wilcox	0.160015384615385	0.0162636363636364
