CHR	Start	End	cgsite	Gene Symbol	Location	GEO.Pvalue	GEO.Delta	COAD.Pvalue	COAD.Delta	LUAD.Pvalue	LUAD.Detal	LUSC.Pvalue	LUSC.delta	PAAD.Pvalue	PAAD.delta
chr5	88179989	88179990	cg25611476	MEF2C	Island	0.00000000000000000000000000000000000795425071630812	0.03232385	0.00000819183641879476	0.0100874018816736	0.435861680835838	0.0011541332519085	0.000000083472641183087	0.0104939782864305	0.0150234080405219	0.0121481565867336
chr1	36397261	36397262	cg11089071	EIF2C3	Island	0.00000000000000000000000000000000000027691058971586	0.0292395	0.0180480977083071	0.00597188288048915	0.0753908873961252	-0.0045333464946725	0.000184674327924617	0.00625038587992349	0.00843297052774208	0.0097059098220252
chr15	66797427	66797428	cg11136251	ZWILCH		0.00000000000000000000000000000000000000000118073657962534	0.027273175	0.00000576512101387655	0.0044152193937573	0.574525021338006	-0.0000559102481064999	0.0000000309724368784035	0.00589080104306345	0.0187305729010979	0.00613101445263095
chr15	66797229	66797230	cg11846912	ZWILCH		0.0000000000203010152763853	0.0172205	0.519292788340276	0.00086832102533399	0.156678994985403	-0.006540874575221	0.0123147602425994	0.00493740233040815	0.796908485708643	-0.00229713104818455
chr15	66797429	66797430	cg17722664	ZWILCH		0.00000000000000000000000000000000000000000000304602562732309	0.02175685	0.00317279834253697	0.0027374629298154	0.199265631473474	-0.0053182788132899	0.00000000000697784639104678	0.0081195344582005	0.0321406647904639	0.0036357827173565
chr15	66797395	66797396	cg24009358	ZWILCH		0.00000000000000000000000000000000000000000000000000000101270275471269	0.02012676	0.0000289443782030711	0.00230840671183075	0.0150372480672941	-0.0097755451528971	0.000000000000108865607882031	0.00542973559463115	0.000585849675390603	0.0065493173771263
chr15	66797798	66797799	cg16035638	RPL4		0.000000000000000000000000000000000109488174449587	0.0421807	0.010067609927295	0.00756496079383216	0.0530461668646475	-0.0075514140476905	0.000390670634719652	0.00720669215005335	0.103534102708518	0.00324636998793509
chr15	66797614	66797615	cg18864581	ZWILCH		0.0000000000000000000000000000163423797558187	0.0328668	0.000065208051200565	0.0086909481871216	0.894939005513292	-0.0021993207111931	0.0000000131945414384289	0.00792459801733715	0.255793863801623	0.00372610612243835
chr15	66797591	66797592	cg27573093	ZWILCH		0.000000000000000000000000000000000000000000000000000000561731866855292	0.0473892	0.0945642459327349	0.00454780530204871	0.119435092902656	0.0157230581811105	0.000000109486478631913	0.0142730521225568	0.0605685546660911	0.0124981274192905
chr8	64080889	64080890	cg05190994	YTHDF3	Island	0.00000000000000000000000000000000000000000000000000610597504599973	0.026074945	0.155469137146406	0.00104599459537505	0.0950819769398572	-0.00609444019696035	0.00000000498679352103151	0.00480087560458995	0.0698291512845973	0.0045601112863256
chr16	3185250	3185251	cg03097541	ZNF213	Island	0.0000000000000000000000000000000000000000000000156027722907346	0.02099568	0.00450989645564719	0.00149968421105945	0.99650444184545	0.00182059618103965	0.00000000244323873555999	0.0037526482101427	0.001342406650224	0.0060127763634524
chr9	131592049	131592050	cg00475955	C9orf114	Island	0.000000000000000000000000000000000000000000000000000000000841192822997833	0.02941612	0.321757809449113	0.000963381525908899	0.0739631819872821	0.0027070555245819	0.0000000000107405789746063	0.003192285693625	0.0307721841179619	0.0038998404216908
