	Bin	P	Delta	test	cancer	normal
120	chr10:129534806-129534828	2.57282979478716e-06	0.275110909090909	wilcox	0.27762	0.00250909090909091
842	chr12:115109629-115109661	8.11908129717524e-07	0.487694352159468	wilcox	0.504337209302326	0.0166428571428571
948	chr12:25056182-25056399	1.04568655143003e-06	0.239540931372549	wilcox	0.248978431372549	0.0094375
1191	chr13:112759034-112759053	6.0540505923057e-06	0.242245714285714	wilcox	0.270310714285714	0.028065
1454	chr14:36986475-36986526	1.88845330918737e-06	0.290482142857143	wilcox	0.301646428571429	0.0111642857142857
1463	chr14:37126887-37126917	1.49754911478067e-06	0.189524750830565	wilcox	0.192560465116279	0.00303571428571429
1608	chr14:97499673-97499703	2.87665256332183e-06	0.209451886792453	wilcox	0.224501886792453	0.01505
1825	chr15:89922271-89922327	1.33590351792838e-06	0.265233333333333	wilcox	0.270633333333333	0.0054
2040	chr16:54967352-54967379	4.85474652840673e-06	0.376506825396825	wilcox	0.389871111111111	0.0133642857142857
2377	chr17:40822685-40822715	2.43220262116594e-06	0.386001785714286	wilcox	0.481014285714286	0.0950125
2492	chr17:56564991-56565011	4.9375354940111e-06	0.416034901960784	wilcox	0.513354901960784	0.09732
2558	chr17:73749618-73749689	4.27139268420691e-07	0.27538431372549	wilcox	0.277949019607843	0.00256470588235294
2573	chr17:74733130-74733160	1.98063512192051e-06	0.252870989505247	wilcox	0.306836206896552	0.0539652173913043
3166	chr19:4327019-4327048	3.46110027413473e-07	0.233376	wilcox	0.260476	0.0271
3399	chr1:113286913-113286925	1.92562999947391e-06	0.202085714285714	wilcox	0.20805	0.00596428571428571
3637	chr1:208338107-208338196	5.49747170740437e-06	0.409723391812865	wilcox	0.469244444444444	0.059521052631579
3742	chr1:236850112-236850127	2.93539507010343e-06	0.283354336734694	wilcox	0.289391836734694	0.0060375
4389	chr21:38081420-38081498	1.01302362029896e-06	0.208922567783094	wilcox	0.214454385964912	0.00553181818181818
4431	chr21:45577764-45577920	4.48200748855012e-06	0.519266923076923	wilcox	0.619026923076923	0.09976
4550	chr22:37881408-37881494	4.80921761804744e-06	0.426810884353741	wilcox	0.482277551020408	0.0554666666666667
4889	chr2:19561025-19561042	1.59621547637258e-07	0.316941393442623	wilcox	0.341716393442623	0.024775
4952	chr2:220313251-220313329	1.32164881575072e-06	0.30772288961039	wilcox	0.335341071428571	0.0276181818181818
5172	chr2:5836796-5836813	2.83578105477932e-06	0.235536538461538	wilcox	0.242882692307692	0.00734615384615385
5224	chr2:73147824-73147966	5.60691949510765e-07	0.32685119047619	wilcox	0.329209523809524	0.00235833333333333
5264	chr2:88751429-88751473	9.52491479469362e-07	0.19402243313201	wilcox	0.210480327868852	0.0164578947368421
5726	chr4:107691-107744	2.80373207434625e-06	0.245371347517731	wilcox	0.249344680851064	0.00397333333333333
5870	chr4:24801824-24801867	5.04023592252845e-06	0.324917272727273	wilcox	0.36024	0.0353227272727273
6305	chr5:37834760-37834791	2.62818189622241e-06	0.286486904761905	wilcox	0.295353571428571	0.00886666666666667
6423	chr5:92923974-92923995	9.1447115215738e-07	0.318598671726755	wilcox	0.341051612903226	0.0224529411764706
6689	chr6:37616829-37616844	9.51047523933919e-07	0.295356171107994	wilcox	0.343782258064516	0.0484260869565217
7207	chr7:644301-644366	2.65099716851116e-06	0.331940842490842	wilcox	0.408102380952381	0.0761615384615385
7327	chr8:13424253-13424301	5.68782448374934e-06	0.262492553191489	wilcox	0.269842553191489	0.00735
7521	chr8:53853030-53853071	8.56491215501299e-07	0.277889583333333	wilcox	0.292089583333333	0.0142
7923	chr9:92099052-92099198	1.43992204414446e-06	0.413209183673469	wilcox	0.448173469387755	0.0349642857142857
