tax_id	Org_name	GeneID	Symbol	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
9606	Homo sapiens	19	ABCA1	9q31.1	9	NC_000009.12	104781002	104928246	minus	53	600046
9606	Homo sapiens	5243	ABCB1	7q21.12	7	NC_000007.14	87503863	87713323	minus	29	171050
9606	Homo sapiens	4363	ABCC1	16p13.1	16	NC_000016.10	15949577	16143074	plus	33	158343
9606	Homo sapiens	9429	ABCG2	4q22	4	NC_000004.12	88090264	88231417	minus	19	603756
9606	Homo sapiens	25	ABL1	9q34.1	9	NC_000009.12	130713881	130887675	plus	12	189980
9606	Homo sapiens	38	ACAT1	11q22.3	11	NC_000011.10	108121531	108148168	plus	14	607809
9606	Homo sapiens	1636	ACE	17q23.3	17	NC_000017.11	63477061	63498380	plus	26	106180
9606	Homo sapiens	8751	ADAM15	1q21.3	1	NC_000001.11	155051272	155062776	plus	24	605548
9606	Homo sapiens	8745	ADAM23	2q33	2	NC_000002.12	206443544	206621130	plus	27	603710
9606	Homo sapiens	80332	ADAM33	20p13	20	NC_000020.11	3667973	3682131	minus	23	607114
9606	Homo sapiens	9510	ADAMTS1	21q21.2	21	NC_000021.9	26836287	26845409	minus	9	605174
9606	Homo sapiens	56999	ADAMTS9	3p14.1	3	NC_000003.12	64515654	64688000	minus	41	605421
9606	Homo sapiens	118	ADD1	4p16.3	4	NC_000004.12	2843727	2930076	plus	19	102680
9606	Homo sapiens	9289	ADGRG1	16q21	16	NC_000016.10	57619535	57665039	plus	23	604110
9606	Homo sapiens	9370	ADIPOQ	3q27	3	NC_000003.12	186842668	186858463	plus	5	605441
9606	Homo sapiens	135	ADORA2A	22q11.23	22	NC_000022.11	24423597	24442360	plus	6	102776
9606	Homo sapiens	154	ADRB2	5q31-q32	5	NC_000005.10	148826593	148828634	plus	1	109690
9606	Homo sapiens	60312	AFAP1	4p16	4	NC_000004.12	7758713	7939926	minus	20	608252
9606	Homo sapiens	10551	AGR2	7p21.3	7	NC_000007.14	16791811	16805114	minus	8	606358
9606	Homo sapiens	183	AGT	1q42.2	1	NC_000001.11	230702523	230714590	minus	5	106150
9606	Homo sapiens	196	AHR	7p15	7	NC_000007.14	17298652	17346151	plus	11	600253
9606	Homo sapiens	57491	AHRR	5p15.3	5	NC_000005.10	304176	438291	plus	12	606517
9606	Homo sapiens	57379	AICDA	12p13	12	NC_000012.12	8602166	8612888	minus	5	605257
9606	Homo sapiens	202	AIM1	6q21	6	NC_000006.12	106360808	106570451	plus	22	601797
9606	Homo sapiens	9590	AKAP12	6q24-q25	6	NC_000006.12	151239999	151358559	plus	7	604698
9606	Homo sapiens	207	AKT1	14q32.32	14	NC_000014.9	104769349	104795743	minus	17	164730
9606	Homo sapiens	210	ALAD	9q33.1	9	NC_000009.12	113386312	113401338	minus	16	125270
9606	Homo sapiens	214	ALCAM	3q13.1	3	NC_000003.12	105366713	105576913	plus	16	601662
9606	Homo sapiens	216	ALDH1A1	9q21.13	9	NC_000009.12	72900662	72953317	minus	13	100640
9606	Homo sapiens	8854	ALDH1A2	15q21.3	15	NC_000015.10	57953424	58065923	minus	14	603687
9606	Homo sapiens	220	ALDH1A3	15q26.3	15	NC_000015.10	100879692	100916626	plus	13	600463
9606	Homo sapiens	10840	ALDH1L1	3q21.3	3	NC_000003.12	126103561	126181526	minus	25	600249
9606	Homo sapiens	238	ALK	2p23	2	NC_000002.12	29192774	29921611	minus	29	105590
9606	Homo sapiens	91801	ALKBH8	11q22.3	11	NC_000011.10	107502726	107565737	minus	13	613306
9606	Homo sapiens	239	ALOX12	17p13.1	17	NC_000017.11	6994196	7010754	plus	14	152391
9606	Homo sapiens	246	ALOX15	17p13.3	17	NC_000017.11	4630919	4641665	minus	14	152392
9606	Homo sapiens	249	ALPL	1p36.12	1	NC_000001.11	21508982	21578412	plus	15	171760
9606	Homo sapiens	60529	ALX4	11p11.2	11	NC_000011.10	44260438	44319220	minus	7	605420
9606	Homo sapiens	64682	ANAPC1	2q12.1	2	NC_000002.12	111767637	111884186	minus	49	608473
9606	Homo sapiens	285	ANGPT2	8p23.1	8	NC_000008.11	6499651	6563263	minus	9	601922
9606	Homo sapiens	51129	ANGPTL4	19p13.3	19	NC_000019.10	8364127	8374375	plus	7	605910
9606	Homo sapiens	29123	ANKRD11	16q24.3	16	NC_000016.10	89267619	89490574	minus	20	611192
9606	Homo sapiens	11199	ANXA10	4q33	4	NC_000004.12	168092526	168187742	plus	13	608008
9606	Homo sapiens	316	AOX1	2q33	2	NC_000002.12	200585952	200682241	plus	38	602841
9606	Homo sapiens	317	APAF1	12q23	12	NC_000012.12	98645228	98735433	plus	29	602233
9606	Homo sapiens	321	APBA2	15q11-q12	15	NC_000015.10	28885994	29118315	plus	21	602712
9606	Homo sapiens	324	APC	5q21-q22	5	NC_000005.10	112707505	112846239	plus	18	611731
9606	Homo sapiens	351	APP	21q21.3	21	NC_000021.9	25880550	26171128	minus	20	104760
9606	Homo sapiens	358	AQP1	7p14	7	NC_000007.14	30911800	30925516	plus	7	107776
9606	Homo sapiens	367	AR	Xq12	X	NC_000023.11	67544032	67730619	plus	9	313700
9606	Homo sapiens	374	AREG	4q13.3	4	NC_000004.12	74445098	74455009	plus	6	104640
9606	Homo sapiens	9823	ARMCX2	Xq22.1	X	NC_000023.11	101655281	101659891	minus	6	300363
9606	Homo sapiens	406	ARNTL	11p15	11	NC_000011.10	13277727	13387811	plus	21	602550
9606	Homo sapiens	57412	AS3MT	10q24.32	10	NC_000010.11	102869453	102901899	plus	11	611806
9606	Homo sapiens	440	ASNS	7q21.3	7	NC_000007.14	97852117	97872542	minus	15	108370
9606	Homo sapiens	79058	ASPSCR1	17q25.3	17	NC_000017.11	81977550	82017563	plus	19	606236
9606	Homo sapiens	445	ASS1	9q34.1	9	NC_000009.12	130444707	130501274	plus	18	603470
9606	Homo sapiens	466	ATF1	12q13	12	NC_000012.12	50763710	50821167	plus	9	123803
9606	Homo sapiens	55729	ATF7IP	12p13.1	12	NC_000012.12	14365632	14502935	plus	21	613644
9606	Homo sapiens	472	ATM	11q22-q23	11	NC_000011.10	108222500	108369102	plus	69	607585
9606	Homo sapiens	481	ATP1B1	1q24	1	NC_000001.11	169106709	169132722	plus	6	182330
9606	Homo sapiens	545	ATR	3q23	3	NC_000003.12	142449235	142578826	minus	49	601215
9606	Homo sapiens	6790	AURKA	20q13	20	NC_000020.11	56369389	56392295	minus	11	603072
9606	Homo sapiens	9212	AURKB	17p13.1	17	NC_000017.11	8204731	8210776	minus	10	604970
9606	Homo sapiens	551	AVP	20p13	20	NC_000020.11	3082555	3093521	minus	4	192340
9606	Homo sapiens	8312	AXIN1	16p13.3	16	NC_000016.10	287440	361497	minus	15	603816
9606	Homo sapiens	558	AXL	19q13.1	19	NC_000019.10	41219199	41261767	plus	21	109135
9606	Homo sapiens	572	BAD	11q13.1	11	NC_000011.10	64269828	64284704	minus	3	603167
9606	Homo sapiens	581	BAX	19q13.3-q13.4	19	NC_000019.10	48954860	48961798	plus	7	600040
9606	Homo sapiens	11176	BAZ2A	12q13.3	12	NC_000012.12	56595596	56636816	minus	35	605682
9606	Homo sapiens	27113	BBC3	19q13.3-q13.4	19	NC_000019.10	47220822	47232996	minus	7	605854
9606	Homo sapiens	9564	BCAR1	16q23.1	16	NC_000016.10	75229030	75268053	minus	17	602941
