Chrosome	Start	End	CpG loci	Gene Symbol	CpG Island	Probe type	P-value	Median(Case)	Median(Normal)	Delta	Ratio
chr6	31707746	31708094	cg13709244	MSH5	Island	I	3.99E-58	0.03080952	0.00969205	0.02111747	3.178844517
chr6	31707746	31708094	cg13709244	MSH5	Island	I	3.99E-58	0.03080952	0.00969205	0.02111747	3.178844517
chr6	31707746	31708094	cg05239791	MSH5	Island	I	1.37E-53	0.03230455	0.01130055	0.021004	2.858670596
chr6	31707746	31708094	cg05239791	MSH5	Island	I	1.37E-53	0.03230455	0.01130055	0.021004	2.858670596
chr6	31707746	31708094	cg13843771	MSH5	Island	I	2.09E-57	0.02887599	0.0104415	0.01843449	2.765502083
chr6	31707746	31708094	cg13843771	MSH5	Island	I	2.09E-57	0.02887599	0.0104415	0.01843449	2.765502083
chr14	45366783	45366926	cg01147465	C14orf28	Island	I	1.65E-57	0.04125464	0.0153347	0.02591994	2.690280214
chr9	131592023	131592100	cg00475955	C9orf114	Island	I	8.41E-58	0.04798172	0.0185656	0.02941612	2.584442194
chr6	31707746	31708094	cg24536200	MSH5	Island	I	4.99E-54	0.024885545	0.0098921	0.014993445	2.515698891
chr6	31707746	31708094	cg24536200	MSH5	Island	I	4.99E-54	0.024885545	0.0098921	0.014993445	2.515698891
chr6	52149509	52149703	cg14550653	MCM3	Island	I	5.94E-54	0.0180334	0.00717755	0.01085585	2.512472919
chr5	133702645	133702765	cg11309039	CDKL3	Island	I	1.37E-44	0.0409917	0.0168871	0.0241046	2.427397244
chr15	66797218	66797971	cg24009358	ZWILCH	NA	I	1.01E-54	0.03485746	0.0147307	0.02012676	2.366313889
chr6	31707746	31708094	cg19121857	MSH5	Island	I	7.15E-53	0.05151664	0.02299825	0.02851839	2.24002435
chr6	31707746	31708094	cg19121857	MSH5	Island	I	7.15E-53	0.05151664	0.02299825	0.02851839	2.24002435
chr6	31707746	31708094	cg16728299	MSH5	Island	I	3.85E-43	0.03515465	0.0157255	0.01942915	2.235518743
chr6	31707746	31708094	cg16728299	MSH5	Island	I	3.85E-43	0.03515465	0.0157255	0.01942915	2.235518743
chr15	66797218	66797971	cg17722664	ZWILCH	NA	I	3.05E-45	0.04052285	0.018766	0.02175685	2.159375999
