	Bin	P	Delta	test	cancer	normal
240	chr10:131988441-131988788	2.55870238951879e-06	0.436540021929825	wilcox	0.613097916666667	0.176557894736842
341	chr10:26987073-26987361	4.83793172138687e-06	0.569781594202899	wilcox	0.840828260869565	0.271046666666667
431	chr10:50746551-50746930	5.19383238064126e-06	0.367363333333333	wilcox	0.529624444444444	0.162261111111111
883	chr11:123301222-123301386	7.35289462080149e-06	0.488144186046512	wilcox	0.698544186046512	0.2104
1193	chr11:57434783-57435391	3.49608684992968e-07	0.48672196969697	wilcox	0.603688636363636	0.116966666666667
1313	chr11:64645160-64646128	2.71638361119166e-06	0.337355253623188	wilcox	0.656729166666667	0.319373913043478
1925	chr12:26348176-26348626	2.58032813596466e-06	0.429933156028369	wilcox	0.585491489361702	0.155558333333333
2936	chr14:24711371-24711617	6.96062476902705e-07	0.332613305322129	wilcox	0.420730952380952	0.0881176470588235
3399	chr15:27212826-27213129	5.24119877317225e-06	0.535700724637681	wilcox	0.797167391304348	0.261466666666667
3450	chr15:37394629-37394839	7.03180515276268e-06	0.465975303951368	wilcox	0.841057446808511	0.375082142857143
4117	chr16:30645562-30646153	1.06199274572624e-09	0.491144685990338	wilcox	0.568889130434783	0.0777444444444444
4287	chr16:56659438-56659658	2.07570443045527e-06	0.466196678321678	wilcox	0.691565909090909	0.225369230769231
4863	chr17:39684161-39684441	1.52928967968335e-06	0.395406818181818	wilcox	0.581225	0.185818181818182
4892	chr17:40933098-40933259	3.86706368164075e-06	0.536493178294574	wilcox	0.770446511627907	0.233953333333333
5145	chr17:58218663-58218830	1.11965294157654e-07	0.461384168157424	wilcox	0.623041860465116	0.161657692307692
