CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
2	10302075	10302778	0.247530545199687	1.22769634989133e-12	Hypomethylation	C2orf48	6.47	1.24498085528491e-08	Overexpression
3	196064905	196065674	0.276279050997932	3.49953002239148e-66	Hypomethylation	TM4SF19	11.29	1.00693406549423e-08	Overexpression
7	2157786	2159267	0.202084323670746	9.21189707257979e-10	Hypomethylation	MAD1L1	1.88	7.31593438213915e-11	Overexpression
7	23387049	23387712	0.244324111825244	1.2244763269866e-08	Hypomethylation	IGF2BP3	36.5	6.10241807994707e-29	Overexpression
7	130125704	130125871	0.23296612278501	7.48074727141841e-15	Hypomethylation	MEST	6.38	7.88339653481531e-16	Overexpression
8	145061140	145061412	0.207019344128863	8.3650823205342e-10	Hypomethylation	PARP10	1.68	2.84856598426988e-08	Overexpression
10	25506783	25507518	0.218965673795614	3.17013912650457e-11	Hypomethylation	GPR158	4.52	7.55733729681269e-11	Overexpression
10	130545324	130547183	0.209996750526936	3.15886345646628e-07	Hypomethylation	MKI67	5.59	2.41946644600692e-09	Overexpression
10	135152283	135155626	0.219727282909493	3.99400727973258e-06	Hypomethylation	PRAP1	60.36	1.60945333202058e-08	Overexpression
11	69970148	69970934	0.237488833982603	2.15232308338165e-05	Hypomethylation	ANO1	4.81	3.97091209855967e-08	Overexpression
11	70002142	70002555	0.244798651880063	1.89064123810147e-05	Hypomethylation	ANO1	4.81	3.97091209855967e-08	Overexpression
12	132652303	132652676	0.20814028053752	1.3898515930083e-19	Hypomethylation	NOC4L	1.71	2.88999195264904e-07	Overexpression
