	coef	exp.coef.	se.coef.	z	Pr...z..	V1	V2	V3	V4	V5	V6	V7	V8
cg00003298	-0.0380098181364849	0.962703488890551	0.222022230485	-0.171198253676912	0.864067880588703	chr12	113901210	113901211	cg00003298	LHX5	R	Island	I
cg00011740	-1.79328854168408	0.166412015996607	0.201444344731728	-8.90215381361182	5.47732937657413e-19	chr16	49311903	49311904	cg00011740	NA	F	Island	II
cg00026222	-1.71926957280087	0.179196990476039	0.185050842730417	-9.29079569394615	1.53139155301918e-20	chr1	2144244	2144245	cg00026222	NA	F	Island	I
cg00031256	-1.68909657298632	0.184686299238804	0.267757718410451	-6.30830208374075	2.82113183215233e-10	chr6	2842255	2842256	cg00031256	SERPINB1	R	Island	I
cg00039801	-1.64953466456283	0.192139297045128	0.213663661825333	-7.72023960682328	1.16111226739435e-14	chr17	77788884	77788885	cg00039801	NA	F	Island	I
cg00043095	0.91699501697769	2.5017613329263	0.196782954397069	4.6599311398048	3.16315186156992e-06	chr2	223289277	223289278	cg00043095	SGPP2	R	Island	I
cg00050152	1.41278392736342	4.10737413348171	0.195054318588806	7.24302818612138	4.3877567600958e-13	chr5	180479829	180479830	cg00050152	BTNL9	R	Island	I
cg00056767	-1.52721716793268	0.217139088935833	0.192443497565247	-7.93592502347287	2.08932205270237e-15	chr13	44453183	44453184	cg00056767	CCDC122	R	N_Shore	II
cg00060304	-1.7347656483562	0.176441544807632	0.192209590027831	-9.02538550810611	1.79063774529174e-19	chr11	31837237	31837238	cg00060304	PAX6	R	Island	II
cg00060320	-1.34907015857803	0.259481425083449	0.185595920427573	-7.26885674787496	3.62542607750084e-13	chr3	134369974	134369975	cg00060320	KY	F	Island	I
cg00063174	0.939442664304389	2.55855504682553	0.181454833291712	5.17728101953678	2.25142961639932e-07	chr2	228736253	228736254	cg00063174	WDR69	F	Island	I
cg00063471	-1.6997930748659	0.18272132977679	0.203341351423324	-8.35930843858317	6.3086973454637e-17	chr15	51385970	51385971	cg00063471	TNFAIP8L3	R	Island	I
