CpG	GSI	CHR	START	END	Gene	Island	Type
cg06779672	0.449508487	chr6	1378238	1378239	cg06779672	N_Shore	II
cg03698009	0.44803669	chr7	27204349	27204350	HOXA9	Island	II
cg04476062	0.44802776	chr19	12176022	12176023	ZNF844	Island	II
cg21850254	0.448002702	chr19	37959853	37959854	ZNF570	Island	II
cg09010671	0.44700116	chr13	79177763	79177764	POU4F1	Island	I
cg24845848	0.446811585	chr4	85414873	85414874	NKX6-1	Island	II
cg27545919	0.443088042	chr19	37157995	37157996	ZNF461	Island	I
cg26702958	0.441274614	chr10	102996254	102996255	FLJ41350	Island	I
cg23833588	0.440702343	chr13	46961583	46961584	C13orf18	Island	I
cg10734240	0.440317718	chr19	37329090	37329091	ZNF790	Island	I
cg16104915	0.439793403	chr7	27205217	27205218	HOXA9	Island	I
cg11445123	0.439388044	chr20	2781478	2781479	CPXM1	Island	I
cg13732857	0.437268025	chr2	45029729	45029730	cg13732857	Island	II
cg20622089	0.436687843	chr6	88875840	88875841	CNR1	Island	I
cg24884572	0.435177977	chr19	58661833	58661834	ZNF329	Island	I
cg11237751	0.43479229	chr19	37959855	37959856	ZNF570	Island	II
cg15262242	0.433324678	chr17	47301741	47301742	PHOSPHO1	Island	I
cg10823473	0.430696016	chr15	76630514	76630515	ISL2	Island	I
cg06539804	0.430585051	chr20	2781489	2781490	CPXM1	Island	II
cg06695611	0.430074069	chr2	180726328	180726329	ZNF385B	Island	I
cg10888941	0.429812773	chr2	118981391	118981392	cg10888941	N_Shore	II
cg22403273	0.429302837	chr4	81951956	81951957	BMP3	Island	I
cg25809635	0.429055883	chr19	37341103	37341104	ZNF345	Island	II
cg18244915	0.427193429	chr19	37958453	37958454	ZNF569	N_Shore	II
cg12194701	0.42592701	chr8	99952749	99952750	cg12194701	Island	II
cg02945007	0.424432814	chr4	141294667	141294668	SCOC	Island	II
cg27599958	0.424428	chr6	53213028	53213029	ELOVL5	Island	I
cg13188011	0.423595079	chr20	39319326	39319327	MAFB	Island	II
cg27434245	0.423265158	chr16	89007493	89007494	CBFA2T3	Island	II
cg09405661	0.420706478	chr10	79397455	79397456	KCNMA1	Island	II
cg01576677	0.420050612	chr2	45029908	45029909	cg01576677	Island	I
cg11595155	0.418934094	chr19	37960414	37960415	ZNF570	Island	I
cg20276585	0.416920572	chr4	81952330	81952331	BMP3	Island	I
cg02352723	0.416322401	chr19	58666456	58666457	cg02352723	Island	I
cg27018185	0.416314071	chr10	90967894	90967895	CH25H	Island	I
cg09307284	0.415675011	chr19	37957760	37957761	ZNF569	Island	II
cg21590264	0.415285755	chr5	37834850	37834851	GDNF	Island	II
cg13649886	0.415021551	chr19	37341166	37341167	ZNF345	Island	I
cg13597528	0.414712891	chr17	46800680	46800681	C17orf93	Island	II
cg08962682	0.413752154	chr12	8850939	8850940	RIMKLB	Island	I
cg16913789	0.413455931	chr7	27204005	27204006	HOXA9	Island	II
cg02385791	0.412844648	chr19	37960542	37960543	ZNF570	Island	II
cg01049530	0.412140867	chr4	81952008	81952009	BMP3	Island	II
cg20366601	0.411781016	chr4	141294681	141294682	SCOC	Island	I
cg07746323	0.411764917	chr19	37959940	37959941	ZNF570	Island	I
cg03840073	0.409510722	chr15	76635514	76635515	cg03840073	Island	II
cg06520675	0.408916662	chr10	102996310	102996311	FLJ41350	Island	II
cg06327407	0.408634835	chr20	2781399	2781400	CPXM1	Island	I
cg01994205	0.408195337	chr13	79177467	79177468	POU4F1	Island	II
cg11737710	0.407980875	chr19	37959864	37959865	ZNF570	Island	I
cg17666096	0.407866791	chr4	141294787	141294788	SCOC	Island	I
cg03164785	0.407857924	chr19	23456790	23456791	cg03164785	Island	I
cg04524120	0.407781934	chr19	37959949	37959950	ZNF570	Island	I
cg03465861	0.406590205	chr15	76630660	76630661	ISL2	Island	II
cg09546168	0.406052345	chr16	77246495	77246496	SYCE1L	Island	I
cg05385164	0.4056283	chr12	54144855	54144856	cg05385164	Island	I
cg09765994	0.405178507	chr1	14026605	14026606	PRDM2	Island	I
cg09789636	0.404792006	chr1	248021163	248021164	TRIM58	Island	II
cg23967742	0.404255701	chr10	90966701	90966702	CH25H	N_Shore	II
cg02794244	0.403871146	chr19	37957601	37957602	ZNF569	N_Shore	II
cg15316660	0.403823679	chr21	38119920	38119921	SIM2	Island	I
cg22657780	0.403652274	chr2	180725907	180725908	ZNF385B	Island	I
cg27123533	0.403560378	chr19	37958466	37958467	ZNF569	N_Shore	I
cg01951637	0.402475247	chr16	89007466	89007467	CBFA2T3	Island	I
cg11836236	0.402123127	chr10	118893224	118893225	VAX1	N_Shore	II
cg04371288	0.401173991	chr11	75378500	75378501	MAP6	Island	I
cg13529912	0.40057748	chr6	53213159	53213160	ELOVL5	Island	I
cg26105156	0.400356307	chr4	81951953	81951954	BMP3	Island	I
cg20468253	0.399691252	chr7	106685977	106685978	PRKAR2B	S_Shore	II
cg02621694	0.397051112	chr4	81951472	81951473	BMP3	N_Shore	II
cg27327588	0.396846979	chr19	37341052	37341053	ZNF345	Island	II
cg27063138	0.396047273	chr8	38325950	38325951	FGFR1	Island	I
cg17333211	0.395135039	chr4	141294016	141294017	SCOC	N_Shore	II
cg06811295	0.394287616	chr10	124905890	124905891	cg06811295	Island	II
cg24425021	0.394170164	chr13	79177520	79177521	POU4F1	Island	I
cg26556436	0.394012308	chr6	88875622	88875623	CNR1	Island	II
cg15604467	0.393689738	chr13	79177925	79177926	POU4F1	Island	II
cg07089235	0.393221149	chr4	141294546	141294547	SCOC	N_Shore	I
cg00498155	0.392018385	chr19	37157879	37157880	ZNF461	Island	II
cg20631104	0.391078229	chr4	81951446	81951447	BMP3	N_Shore	II
cg13971154	0.390807559	chr7	128828460	128828461	SMO	Island	I
cg26626525	0.390614272	chr19	12163582	12163583	ZNF878	S_Shore	II
cg14607812	0.390418974	chr5	157002793	157002794	ADAM19	Island	I
cg21942490	0.390300372	chr7	27206237	27206238	HOXA9	Island	II
cg17088631	0.389144933	chr1	53098857	53098858	FAM159A	Island	I
cg15830431	0.388335311	chr8	99952591	99952592	cg15830431	Island	II
cg05576648	0.387546349	chr4	141294009	141294010	SCOC	N_Shore	II
cg13070215	0.387443297	chr8	133493171	133493172	KCNQ3	Island	I
cg05249644	0.387099494	chr19	23456680	23456681	cg05249644	Island	I
cg15661332	0.387042807	chr10	90342814	90342815	RNLS	Island	II
cg12744812	0.38626822	chr7	156810819	156810820	cg12744812	Island	I
cg07251193	0.385762136	chr6	88875836	88875837	CNR1	Island	I
cg21195414	0.385734167	chr6	53213871	53213872	ELOVL5	Island	I
cg06899953	0.385711799	chr19	12163679	12163680	ZNF878	S_Shore	II
cg04181321	0.383718339	chr19	57106852	57106853	ZNF71	Island	I
cg16678602	0.383516077	chr10	85954331	85954332	PCDH21	Island	I
cg03611007	0.382019122	chr10	85954336	85954337	PCDH21	Island	I
cg15517658	0.381824196	chr19	58666209	58666210	cg15517658	Island	II
cg11419456	0.381801119	chr19	37157861	37157862	ZNF461	Island	I
cg17957186	0.381435955	chr13	79177895	79177896	POU4F1	Island	II
cg14660839	0.380942334	chr13	28674720	28674721	FLT3	Island	I
cg17984375	0.380882046	chr10	90967612	90967613	CH25H	Island	I
cg04877901	0.380279672	chr1	158083432	158083433	cg04877901	Island	II
