	mean	median	SD	Quantile.0.	Quantile.25.	Quantile.50.	Quantile.75.	Quantile.100.	SampleSize
cg11311843	0.340985258	0.348450539	0.042191108	0.05304	0.321390236	0.348450539	0.37067492	0.44261	796
cg25966705	0.334992314	0.329190129	0.055741445	0.13923	0.298338346	0.329190129	0.37051	0.53211	796
cg24292703	0.260783392	0.25706	0.0341517	0.15218	0.238356439	0.25706	0.2811	0.39097	796
cg22627293	0.240515902	0.240325	0.038759771	0.06349	0.218621826	0.240325	0.261	0.3932	796
cg11431055	0.197674686	0.18569937	0.07889798	0.059091247	0.133097413	0.18569937	0.2542825	0.45292	796
cg02360514	0.215101951	0.20518481	0.070108981	0.05270874	0.1665875	0.20518481	0.250299693	0.5762129	796
cg03945700	0.210392922	0.206746942	0.040626578	0.11103	0.1811	0.206746942	0.236579386	0.404441228	796
cg05581451	0.214839775	0.209214555	0.059121481	0.082310332	0.180156935	0.209214555	0.232638253	0.52381	796
cg09913956	0.175826557	0.170669141	0.045822931	0.02613	0.1442325	0.170669141	0.206280598	0.30758	796
cg13732857	0.185959565	0.174863338	0.070992407	0.06917	0.15362675	0.174863338	0.198778667	0.65354	796
cg03840073	0.165372017	0.16326	0.031031023	0.09185	0.145243143	0.16326	0.182703198	0.382927806	796
cg14607812	0.144853058	0.14404	0.028568761	0.064456998	0.125403096	0.14404	0.163566956	0.25652	796
cg26556436	0.139825214	0.13536	0.033612657	0.06502	0.117136149	0.13536	0.15941	0.26851	795
cg06899953	0.138423181	0.13462165	0.030456962	0.0713	0.11750168	0.13462165	0.157326225	0.274518509	796
cg13597528	0.134457288	0.128560391	0.038248524	0.05461	0.109635794	0.128560391	0.150282561	0.379167916	796
cg27434245	0.128164845	0.12217205	0.032737926	0.05933	0.105244058	0.12217205	0.146716865	0.29381	796
cg06520675	0.132118189	0.12734232	0.027474109	0.068469688	0.115398035	0.12734232	0.145903756	0.327673042	795
cg21942490	0.129952578	0.123531195	0.038116944	0.05978	0.10764	0.123531195	0.1448525	0.36594	796
cg21590264	0.128872822	0.124763569	0.029073268	0.06269126	0.10948	0.124763569	0.14459	0.361190618	796
cg06811295	0.12983234	0.123817258	0.034902545	0.07596181	0.110308682	0.123817258	0.140563914	0.346597766	796
cg12194701	0.131804776	0.123778685	0.05538902	0.07025	0.107158672	0.123778685	0.140511581	0.51783	796
cg09789636	0.123228928	0.1190697	0.028352847	0.062759901	0.104591373	0.1190697	0.138941778	0.25787	796
cg03465861	0.122751022	0.114050044	0.039148145	0.043590375	0.0959	0.114050044	0.1379425	0.3013447	796
cg04476062	0.116751066	0.111247692	0.031339929	0.05462	0.092104575	0.111247692	0.13764	0.26748	796
cg20631104	0.119222746	0.115669401	0.030674369	0.04998977	0.09800813	0.115669401	0.13429	0.28647	796
cg16913789	0.115002938	0.114399983	0.026594897	0.05854	0.096166814	0.114399983	0.133063325	0.23115	796
cg05576648	0.114581693	0.10757896	0.040528642	0.03065317	0.087735111	0.10757896	0.13287	0.47975	796
cg15517658	0.118523375	0.1148937	0.028380376	0.06017	0.098959723	0.1148937	0.1325525	0.240693013	796
cg01049530	0.117170233	0.113261041	0.026459947	0.05833914	0.100409185	0.113261041	0.1303575	0.2326689	796
cg15604467	0.115207788	0.11225	0.024687729	0.05266	0.098606867	0.11225	0.12906	0.24469486	796
cg06779672	0.112148751	0.10596	0.034185093	0.05137683	0.088385722	0.10596	0.128789911	0.39196	796
cg02621694	0.110100516	0.10331	0.037955426	0.02471	0.084567997	0.10331	0.12747	0.44818	796
cg13188011	0.106975501	0.104206644	0.025872809	0.04311	0.088147368	0.104206644	0.124186048	0.20657	796
cg17333211	0.100193314	0.091231966	0.042834042	0.03048	0.068194958	0.091231966	0.121808824	0.43225	796
cg10823473	0.098480926	0.085148735	0.05104505	0.02343	0.064465	0.085148735	0.120537992	0.334426414	796
cg24845848	0.092587264	0.079818918	0.053146424	0	0.05335103	0.079818918	0.118409701	0.31465	796
