	PC-P-1	PC-P-10	PC-P-2	PC-P-3	PC-P-4	PC-P-5	PC-P-6	PC-P-7	PC-P-8	PC-P-9	PC-T-1	PC-T-2	PC-T-4	PC-T-6	PC-T-7	NC-P-1	NC-P-12	NC-P-13	NC-P-14	NC-P-15	NC-P-16	NC-P-17	NC-P-18	NC-P-19	NC-P-2	NC-P-20	NC-P-21	NC-P-22	NC-P-23	NC-P-24	NC-P-25	NC-P-26	NC-P-27	NC-P-29	NC-P-3	NC-P-30	NC-P-5	NC-P-6	NC-P-7	NC-P-8	NC-P-9	N37-Pancreas	STL002PA-01	STL003PA-01
chr5:178487146-178487165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00925925925925926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3:50653457-50653653	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.00606060606060606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00158730158730159	NA	NA	NA	NA	NA	NA	NA	NA
chr5:128300999-128301048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00317460317460317	NA	NA	NA	NA	NA	NA	NA	NA
chr2:176995220-176995228	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	1	NA	0.277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17:18162088-18162189	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.00266666666666667	NA	NA	NA	NA	NA	NA	NA	NA	0.00229885057471264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12:94495987-94496158	NA	NA	NA	NA	NA	NA	0.00341880341880342	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0036036036036036	NA	0.0037037037037037	NA	NA	NA	NA	NA	NA	0.00476190476190476	NA	NA	NA	0.00170940170940171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0028169014084507
chr19:36912540-36912546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.358333333333333	1	NA	NA	NA	NA	NA	NA	0.0583333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0377836085815712
chr15:29396118-29396134	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5:134880362-134880382	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	1	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0112159329140461
chr9:126136138-126136148	NA	NA	0.166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0114942528735632
chr12:131200687-131200700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.518518518518518	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14:100204208-100204257	NA	NA	0.166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	0.277777777777778	NA	1	NA	NA	0.0333333333333333	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0204545454545455	NA
chr20:55500736-55500746	NA	0.0277777777777778	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	0.4	NA	0.666666666666667	NA	NA	0.138888888888889	NA	NA	NA	0.0185185185185185	NA	0.0138888888888889	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	0.0833333333333333	NA	0.0222222222222222	NA	0.0138888888888889	NA	NA	NA	NA	NA	NA
chr5:42424879-42424994	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00196078431372549
chr17:42635610-42635616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5:63257742-63257754	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00892857142857143
chr14:96890578-96890616	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0980952380952381	NA	NA	NA	NA	NA
chr12:85306591-85306595	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	1	1	0.0555555555555556	0.277777777777778	NA	NA	NA	0.0555555555555556	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0128205128205128
chr6:108882295-108882305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	NA	NA
