cp	tt	nt	np
20554	0.547373922373922	0.911111111111111	NA	0.037037037037037
48531	0.822222222222222	0.972222222222222	NA	0.0733333333333333
52389	0.395625	1	0.0145502645502645	0.025
84096	0.535802469135802	0.996635177687809	0.0189582581959362	0.00246913580246914
93134	0.63218026829138	1	NA	0.00999999999999998
117057	0.840277777777778	1	0.00961538461538462	0.0520833333333333
144061	0.502222222222222	0.650462962962963	0.0208333333333333	0.0636574074074074
NA	1	1	NA	0.0694444444444444
NA	0.857142857142857	1	0.0307250221043325	0.089891975308642
NA	0.839718614718615	1	NA	0.0416666666666667
NA	0.785714285714286	1	0.0238095238095238	NA
NA	0.955114638447972	1	0.0238095238095238	NA
NA	0.659090909090909	0.597180134680134	0.0175438596491228	0.0524691358024692
NA	0.753968253968254	1	0.0965352413657119	NA
NA	0.873333333333333	1	0.000775193798449612	0.00248275862068965
NA	0.48368731962482	1	0.00625	0.00769230769230769
NA	0.317425044091711	1	0.093969982528683	0.0954868762673641
NA	0.47671568627451	1	0.0133333333333333	0.025
NA	1	1	0.0111111111111111	0.025
NA	0.736111111111111	1	0.0606060606060606	NA
NA	1	0.944444444444445	0.0277777777777778	NA
NA	0.678968253968254	1	NA	0.0142857142857143
NA	0.43212962962963	1	0.0833333333333333	NA
NA	1	1	0.0158730158730159	NA
NA	0.878125	0.66875	0.0452436016034536	0.01125
NA	0.454943676693677	1	0.00333333333333333	0.0610555555555557
NA	1	1	NA	0.0277777777777778
NA	0.602777777777778	1	0.00505698005698006	NA
NA	0.833333333333333	0.896825396825397	0.00595238095238095	0.0185185185185185
NA	0.944444444444444	1	NA	0.025
NA	1	1	0.00377358490566038	NA
NA	0.75	1	NA	0.00714285714285714
NA	0.857323232323232	0.679126984126984	0.00416666666666667	0.0305555555555556
NA	0.45984126984127	0.503333333333333	NA	0.0133333333333333
NA	0.493386243386243	1	0.0130718954248366	NA
NA	0.737808641975309	0.537037037037037	0.0238095238095238	0.0335870726495727
NA	0.440019502102835	1	0.00700822238558088	0.00338383838383838
NA	0.852693602693603	1	0.0760843079922027	0.0784259259259259
NA	0.51259955444166	0.571836219336219	NA	0.0152962962962963
NA	0.51699938949939	1	0.0103535353535354	0.0215
NA	1	1	NA	0.0111111111111111
NA	0.616450956450956	1	0.00660133260739934	0.034156378600823
NA	0.490162037037037	0.546296296296296	NA	0.0157407407407408
NA	0.814302248677249	1	0.00767399267399268	0.0127525252525253
NA	0.767206314360015	0.514074074074074	NA	0.00817460317460317
NA	0.313333333333334	0.666666666666667	0.00833333333333333	NA
NA	1	1	0.037037037037037	NA
NA	0.577208284459746	0.646575091575092	0.00185185185185185	0.00948412698412698
NA	0.759259259259259	1	0.087819113756614	0.0180091513424847
NA	0.404482690512102	0.630555555555556	NA	0.01
NA	0.771590909090909	0.822222222222222	NA	0.0277777777777778
NA	0.84781746031746	1	0.00747238466536712	NA
NA	0.787301587301587	1	NA	0.0186580086580087
NA	0.606837606837607	1	0.0121732903687791	0.0555555555555556
NA	0.785154226311089	0.511322751322751	0.00268384326355341	0.0338624338624339
NA	0.3125	1	0.0386269450308859	0.0277777777777778
NA	0.61	0.505555555555556	NA	0.01875
NA	0.652777777777778	1	0.00617283950617284	0.0555555555555556
NA	0.815238095238095	1	NA	0.00625
