	7-P-1	7-P-10	7-P-11	7-P-12	7-P-13	7-P-14	7-P-15	7-P-16	7-P-17	7-P-18	7-P-19	7-P-2	7-P-20	7-P-21	7-P-22	7-P-23	7-P-25	7-P-26	7-P-27	7-P-28	7-P-29	7-P-3	7-P-30	7-P-4	7-P-5	7-P-6	7-P-7	7-P-8	7-P-9	7-T-1	7-T-2	7-T-3	7-T-4	7-T-5	NC-P-1	NC-P-12	NC-P-13	NC-P-14	NC-P-15	NC-P-16	NC-P-17	NC-P-18	NC-P-19	NC-P-2	NC-P-20	NC-P-21	NC-P-22	NC-P-23	NC-P-24	NC-P-25	NC-P-26	NC-P-27	NC-P-29	NC-P-3	NC-P-30	NC-P-5	NC-P-6	NC-P-7	NC-P-8	NC-P-9	N37-Lung	STL001LG-01	STL002LG-01
chr18:18823158-18823242	NA	NA	0.5	NA	NA	NA	NA	NA	0.0555555555555556	NA	0.666666666666667	NA	NA	0.958333333333333	NA	NA	0.932692307692308	NA	NA	NA	NA	NA	0.170995670995671	NA	NA	NA	NA	NA	NA	NA	NA	1	0.822222222222222	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19:13950673-13950720	NA	NA	NA	NA	NA	NA	0.111111111111111	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.972222222222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0733333333333333	NA	NA	NA	NA	NA	NA
chr5:31855385-31855404	0.00833333333333333	NA	0.333333333333333	NA	NA	NA	NA	1	0.666666666666667	1	NA	NA	NA	NA	0.6	NA	NA	0.25625	0.00833333333333333	NA	0.025	NA	0.0583333333333333	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0145502645502645
chr17:8054591-8054627	NA	NA	NA	NA	NA	1	NA	NA	0.338271604938272	NA	0.00740740740740741	0.333333333333333	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.996635177687809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00246913580246914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0189582581959362
chr10:134901630-134901666	NA	NA	1	NA	NA	NA	NA	0.255661375661376	1	0.5	0.420627705627706	NA	NA	NA	NA	NA	NA	1	NA	0.5	1	NA	NA	0.0133333333333333	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133333333333333	NA	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8:145104637-145104648	NA	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	NA	0.666666666666667	0.0555555555555556	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.111111111111111	NA	0.0555555555555556	NA	NA	NA	0.0138888888888889	NA	NA	0.00961538461538462
chr2:45029881-45029890	NA	NA	0.822222222222222	NA	NA	0.5	NA	NA	0.422222222222222	0.0277777777777778	1	NA	0.5	0.513888888888889	NA	NA	0.958333333333333	NA	NA	0.25	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	1	0.569444444444444	0.381944444444444	NA	0.0694444444444444	0.138888888888889	NA	NA	NA	NA	0.0277777777777778	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0208333333333333	NA	NA
chr22:19511342-19511348	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0694444444444444	NA	NA	NA	NA	NA	NA	NA	NA
chr19:58867524-58867542	NA	NA	NA	NA	1	NA	NA	NA	0.5	1	NA	NA	NA	1	1	NA	NA	NA	1	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0208333333333333	NA	0.177777777777778	NA	NA	0.0555555555555556	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	0.0307250221043325
chr9:102584599-102584657	NA	NA	0.952380952380952	NA	NA	NA	0.958333333333333	NA	0.5	0.933333333333333	0.958333333333333	NA	0.976190476190476	0.958333333333333	NA	1	0.0833333333333333	NA	NA	0.958333333333333	0.958333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
