											
Gene	CpG site	P-Value	Delta-Beta	Ratio-Beta	Case	Control	Chrosome	Start	End	CpG Shore	Type
HLA-DOA	cg00540941	4.70E-08	-0.181	0.651	0.336738575	0.517480983	chr6	32974843	32974844	N_Shore	II
HLA-DQA1	cg02919082	7.09E-09	-0.376	0.443	0.298724117	0.674507333	chr6	32605694	32605695	NA	II
HLA-DQA1	cg04054303	9.83E-12	-0.466	0.401	0.311503808	0.777322983	chr6	32606445	32606446	NA	II
HLA-DQB1	cg02902672	1.62E-08	-0.627	0.177	0.135138817	0.761785233	chr6	32635360	32635361	S_Shelf	II
HLA-DQB1	cg04777551	1.44E-08	-0.459	0.47	0.407014425	0.865828983	chr6	32628953	32628954	N_Shelf	II
HLA-DQB2	cg02964065	1.99E-07	0.077	1.112	0.77042245	0.693129833	chr6	32729545	32729546	Island	I
HLA-DRB1	cg00211215	1.60E-07	0.661	3.386	0.938594708	0.277210325	chr6	32552246	32552247	Island	I
HLA-DRB1	cg04026937	1.60E-10	-0.615	0.075	0.049871367	0.664885558	chr6	32549361	32549362	N_Shelf	II
HLA-DRB1	cg06032479	3.67E-08	0.195	1.268	0.923659858	0.7283641	chr6	32552026	32552027	Island	I
HLA-DRB1	cg06204447	4.05E-08	-0.175	0.764	0.565965183	0.740981475	chr6	32546665	32546666	NA	II
HLA-DRB6	cg00103771	6.61E-10	-0.642	0.238	0.200023831	0.842154983	chr6	32525805	32525806	NA	II
HLA-DRB6	cg04688450	5.38E-09	-0.344	0.442	0.272449583	0.616000992	chr6	32526366	32526367	NA	II
HLA-DRB6	cg06559318	1.17E-08	-0.815	0.046	0.039282453	0.85394975	chr6	32526260	32526261	NA	I
HLA-E	cg02678305	4.74E-08	-0.047	0.891	0.3862544	0.433287642	chr6	30460322	30460323	S_Shelf	II
HLA-E	cg03725115	3.24E-07	-0.02	0.72	0.052608371	0.073088388	chr6	30458102	30458103	Island	I
