X	cpg	pvalue	delta	Ratio	RA	HP	V1	V2	V3	V4	V5	V6	V7
11	1947	cg00084398	1.73975488566576e-08	0.021	1.034	0.658438216666667	0.637082933333333	chr6	43249983	43249984	cg00084398	TTBK1	N_Shore	II
15	2419	cg00103771	6.60733096865651e-10	-0.642	0.238	0.200023830833333	0.842154983333333	chr6	32525805	32525806	cg00103771	HLA-DRB6	NA	II
30	4549	cg00211215	1.59968100744805e-07	0.661	3.386	0.938594708333333	0.277210325	chr6	32552246	32552247	cg00211215	HLA-DRB1	Island	I
31	4640	cg00215801	5.60491507802018e-08	0.013	1.139	0.108458225	0.09522165	chr6	34855797	34855798	cg00215801	TAF11	Island	I
41	5496	cg00256329	5.49906841457179e-09	0.633	3.668	0.870385641666667	0.2373102425	chr17	724374	724375	cg00256329	NXN	NA	II
71	9464	cg00449390	4.57090647924457e-08	0.036	1.101	0.394201091666667	0.35819275	chr7	158379223	158379224	cg00449390	PTPRN2	N_Shore	II
84	11030	cg00518386	3.25605871237429e-07	-0.026	0.723	0.067226355	0.0929784908333333	chr16	10276984	10276985	cg00518386	GRIN2A	Island	I
103	13040	cg00611789	2.41654422971036e-07	0.051	1.06	0.907949616666667	0.856924275	chr5	78985432	78985433	cg00611789	CMYA5	NA	I
114	14081	cg00665908	2.95577723811624e-07	-0.002	0.608	0.00371508511583333	0.00610916	chr6	34855885	34855886	cg00665908	TAF11	Island	I
129	16663	cg00788739	1.56969902816895e-08	-0.056	0.569	0.0735112658333333	0.1291389	chr22	31002942	31002943	cg00788739	TCN2	NA	II
132	16861	cg00797651	3.52495927010979e-09	-0.091	0.532	0.103480403333333	0.194603	chr1	207494336	207494337	cg00797651	CD55	N_Shore	II
160	19992	cg00951597	2.49828104780636e-07	-0.005	0.871	0.0361838658333333	0.0415644325	chr1	162039149	162039150	cg00951597	NOS1AP	N_Shore	II
165	20667	cg00982680	4.99892218473607e-08	-0.007	0.779	0.0244022016666667	0.03134382	chr2	44588811	44588812	cg00982680	PREPL	N_Shore	II
166	20677	cg00982974	2.85707817830558e-07	0.023	1.027	0.875481433333333	0.852465325	chr7	101522290	101522291	cg00982974	CUX1	NA	II
196	23946	cg01137537	1.02504613804638e-07	-0.007	0.403	0.00491123116666667	0.0121859133333333	chr1	162039502	162039503	cg01137537	NOS1AP	Island	I
210	25925	cg01235659	1.36573767164652e-07	-0.024	0.969	0.754302733333333	0.778120558333333	chr5	16738047	16738048	cg01235659	MYO10	NA	II
215	26457	cg01264539	3.46429733023361e-08	0.026	1.032	0.843651433333333	0.81738065	chr2	44587797	44587798	cg01264539	PREPL	N_Shore	II
217	26830	cg01284869	1.43515127915532e-08	-0.043	0.653	0.0813629941666667	0.124681416666667	chr22	31002946	31002947	cg01284869	TCN2	NA	I
236	28455	cg01369114	1.50260632750001e-07	-0.033	0.796	0.126584483333333	0.15912435	chr22	31002991	31002992	cg01369114	TCN2	NA	II
243	29223	cg01406381	2.93556745134089e-07	-0.072	0.709	0.176419833333333	0.248762116666667	chr19	47288263	47288264	cg01406381	SLC1A5	N_Shelf	II
257	31363	cg01514831	2.00016102285422e-07	-0.017	0.98	0.83613625	0.853528375	chr18	77236335	77236336	cg01514831	NFATC1	Island	II
281	34374	cg01669242	2.69845991274607e-09	-0.017	0.981	0.903467283333333	0.9208666	chr7	157689758	157689759	cg01669242	PTPRN2	N_Shore	II
327	40191	cg01960789	2.71955131357961e-07	-0.007	0.783	0.0261973625	0.0334568833333333	chr16	3184957	3184958	cg01960789	ZNF213	Island	II
330	40513	cg01973676	6.96552851605107e-08	-0.087	0.823	0.405735033333333	0.492851725	chr7	101596404	101596405	cg01973676	CUX1	NA	I
335	41183	cg02008416	4.18563122651974e-08	0.047	1.065	0.774004066666667	0.726932283333333	chr1	55445880	55445881	cg02008416	TMEM61	N_Shore	I
336	41395	cg02018176	3.292409712655e-08	0.056	1.073	0.817272033333333	0.761661258333333	chr4	1364513	1364514	cg02018176	KIAA1530	N_Shore	II
357	43348	cg02111168	3.08559924051078e-09	-0.009	0.833	0.0461697125	0.0554151833333333	chr22	31003283	31003284	cg02111168	TCN2	NA	II
381	45852	cg02247183	1.256561355084e-07	-0.007	0.22	0.00196689366666667	0.00894110033333333	chr16	4664062	4664063	cg02247183	FAM100A	Island	I
390	46698	cg02288345	2.33445071045226e-07	0.402	1.923	0.836650808333333	0.435124033333333	chr5	16895511	16895512	cg02288345	MYO10	NA	II
391	46936	cg02299950	3.09757555293229e-09	-0.025	0.853	0.1475429	0.172928416666667	chr1	3087637	3087638	cg02299950	PRDM16	NA	II
